name,civilization,role,achievements,legacy_score
Eldrin Zenith,The Omega-bulgis AI Hegemony,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,48
Valerius Sovereign,The Aurelis AI Hegemony,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,84
Caelum Voidwalker,The Consolidated Consolidated Systems,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,36
Aethelgard Sterling,The Solian Star Empire,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,41
Thalia Nova,The Great Unified Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,76
Sienna Apex,The Great Consolidated Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",49
Lyra Vanguard,The Unified Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,67
Kael Zenith,The Great Unified Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",84
Vanya Starfall,The Great Zelex Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,37
Aurelia Vanguard,The Scientific Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Perseus Sector.,90
Lyra Thorne,The Consolidated Unified Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,54
Thalia Thorne,The Scientific Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,77
Thalia Valerius,The Scientific AI Hegemony,Diplomat,Drafted the original charter that established the first Galactic Federation.,67
Valerius Nova,The Sagittarian Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",60
Taron Kaelis,The Consolidated Thranian Systems,Emperor,Survived three major destabilization espionage operations planned by rival empires.,56
Sienna Dawn,The Scientific AI Hegemony,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,98
Telas Aethel,The Great Cygnan Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,90
Zephyr Zenith,The Unified Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,58
Xerxes Skyward,The Great Scientific Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,78
Sylas Ironclad,The Consolidated Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,100
Jesper Kaelis,The Consolidated Consolidated Systems,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",20
Xerxes Frost,The Consolidated Zeloid Systems,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,30
Valerius Rifts,The Consolidated Chi-bulgis Systems,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,84
Orion Vanguard,The Consolidated Unified Systems,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",67
Nyx Thorne,The Great Aurelari Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,100
Aethelgard Valerius,The Great Galactican Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,63
Jesper Vanguard,The Scientific Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,37
Kaelen Sovereign,The Great Consolidated Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",45
Lyra Rifts,The Great Beta-bulgis Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,80
Sienna Shadow,The Great Unified Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,65
Cassian Helios,The Consolidated Star Empire,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,75
Orion Voidwalker,The Great Scientific Imperium,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",83
Taron Thorne,The Scientific Technocracy,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,30
Rylan Sovereign,The Scientific Technocracy,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,30
Lyra Sol,The Great Scientific Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,41
Kael Valerius,The Scientific Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,98
Aurelia Valerius,The Scientific Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",66
Telas Kaelis,The Scientific Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,76
Valerius Nox,The Unified Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,66
Dorian Kaelis,The Unified Star Empire,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",67
Sienna Thorne,The Consolidated Unified Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,87
Eldrin Shadow,The Unified AI Hegemony,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,34
Sylas Rifts,The Iota-sagittariis Technocracy,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,35
Jesper Sol,The Unified Star Empire,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,56
Zephyr Kaelis,The Thranite Technocracy,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,77
Valerius Crown,The Aurelis AI Hegemony,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,64
Lyra Sterling,The Unified AI Hegemony,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,66
Zephyr Starfall,The Consolidated Orionite Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,50
Nyx Storm,The Consolidated Unified Systems,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,79
Dorian Thorne,The Great Meris Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,70
Sienna Skyward,The Thranari Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,29
Aurelia Thorne,The Allied Star Empire,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",86
Sienna Storm,The Great Scientific Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,43
Myra Valerius,The Unified AI Hegemony,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,86
Vanya Sterling,The Great Kaelumian Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,64
Valerius Aethel,The Scientific Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,55
Dorian Storm,The Unified Technocracy,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,41
Vanya Crown,The Great Scientific Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,63
Telas Thorne,The Great Solis Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,53
Dorian Shadow,The Scientific AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",100
Aurelia Sovereign,The Consolidated Scientific Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,71
Valerius Dawn,The Great Persean Imperium,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,76
Kael Starfall,The Great Scientific Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,38
Vesper Nova,The Consolidated Beta-bulgis Systems,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,67
Eldrin Nox,The Consolidated Star Empire,Emperor,Survived three major destabilization espionage operations planned by rival empires.,54
Aethelgard Helios,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,69
Xerxes Sterling,The Great Unified Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,93
Sienna Sterling,The Great Kaelumari Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,79
Sylas Vex,The Consolidated Star Empire,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,84
Sariel Frost,The Great Galactican Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,26
Dorian Shadow,The Orionex AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",56
Zephyr Skyward,The Consolidated Unified Systems,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,66
Kaelen Starlight,The Great Bulgite Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,91
Rylan Sovereign,The Great Scientific Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,84
Dorian Crown,The Unified Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",36
Nyx Voidwalker,The Consolidated Scientific Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",38
Myra Valerius,The Great Solis Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,37
Myra Sol,The Unified AI Hegemony,Diplomat,Drafted the original charter that established the first Galactic Federation.,85
Dorian Voidwalker,The Great Unified Imperium,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",98
Myra Rifts,The Aurelian AI Hegemony,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",92
Telas Nova,The Great Scientific Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,73
Taron Apex,The Great Xenex Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,96
Aurelia Zenith,The Consolidated Unified Systems,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,49
Vanya Rifts,The Allied Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,68
Kaelen Frost,The Scientific Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",44
Eldrin Skyward,The Sigma-orionis Star Empire,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,46
Vesper Apex,The Great Unified Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,86
Caelum Vanguard,The Great Unified Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",60
Rylan Voidwalker,The Consolidated Chi-bulgis Systems,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,53
Sariel Nox,The Unified AI Hegemony,Diplomat,Drafted the original charter that established the first Galactic Federation.,58
Sienna Sovereign,The Unified AI Hegemony,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,82
Nyx Storm,The Great Consolidated Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Centauri Sector.,56
Orion Nova,The Great Cygnite Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,57
Jesper Thorne,The Galactician Technocracy,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,52
Sariel Storm,The Scientific Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,54
Dorian Apex,The Great Consolidated Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,51
Aurelia Nox,The Great Bulgite Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,72
Zephyr Crown,The Great Cygnan Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,20
Thalia Shadow,The Great Consolidated Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",81
Eldrin Sovereign,The Allied Star Empire,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,31
Rylan Apex,The Merian AI Hegemony,Emperor,Survived three major destabilization espionage operations planned by rival empires.,42
Kaelen Starlight,The Unified Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",43
Telas Sovereign,The Consolidated Unified Systems,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,33
Kael Shadow,The Consolidated Chi-bulgis Systems,Diplomat,Drafted the original charter that established the first Galactic Federation.,83
Cassian Starfall,The Great Scientific Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,62
Aurelia Aethel,The Unified Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,21
Elora Crown,The Consolidated Zelis Systems,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,42
Thalia Rifts,The Great Unified Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",71
Aethelgard Vanguard,The Great Kaelumian Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,20
Xerxes Sol,The Xenoid Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,62
Cassian Shadow,The Unified Star Empire,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,27
Lyra Sterling,The Unified Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,59
Nyx Ironclad,The Great Allied Imperium,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,37
Kael Apex,The Scientific Technocracy,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,73
Sienna Storm,The Great Zelex Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,51
Myra Sol,The Scientific AI Hegemony,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,29
Kaelen Storm,The Unified Technocracy,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,45
Vanya Voidwalker,The Great Unified Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,76
Jesper Frost,The Great Unified Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,85
Kael Kaelis,The Great Unified Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",78
Rylan Sol,The Orionex AI Hegemony,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,22
Telas Apex,The Unified Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,29
Nyx Dawn,The Great Unified Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,27
Kaelen Sovereign,The Scientific Technocracy,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,37
Orion Sol,The Great Scientific Imperium,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,68
Aurelia Nova,The Great Unified Imperium,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,88
Vesper Nox,The Scientific Technocracy,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,22
Caelum Apex,The Consolidated Chi-bulgis Systems,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,88
Xerxes Sol,The Galactician Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,55
Kaelen Crown,The Aurelian Star Empire,Diplomat,Drafted the original charter that established the first Galactic Federation.,22
Valerius Helios,The Great Unified Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,77
Xerxes Apex,The Consolidated Unified Systems,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",76
Sienna Zenith,The Consolidated Allied Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,84
Vesper Frost,The Consolidated Unified Systems,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,96
Lyra Kaelis,The Great Unified Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,48
Cassian Valerius,The Consolidated Scientific Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,42
Kaelen Nova,The Great Consolidated Imperium,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",87
Thalia Kaelis,The Unified AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",43
Xerxes Nox,The Unified AI Hegemony,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,79
Thalia Storm,The Scientific Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,69
Sariel Voidwalker,The Bulgan Technocracy,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,77
Rylan Apex,The Consolidated Xi-sagittariis Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,26
Caelum Ironclad,The Great Scientific Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,29
Sylas Starfall,The Great Scientific Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Sagittarius Sector.,58
Sariel Apex,The Great Unified Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",51
Orion Nox,The Orionite Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,56
Rylan Shadow,The Unified Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,53
Kael Helios,The Great Unified Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",60
Eldrin Skyward,The Great Solis Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,48
Cassian Storm,The Great Consolidated Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,94
Aethelgard Starfall,The Unified Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,68
Sylas Storm,The Vesperan Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,52
Kael Sterling,The Consolidated Bulgite Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",41
Vanya Storm,The Scientific Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",87
Caelum Valerius,The Great Consolidated Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,72
Valerius Dawn,The Sigma-orionis Star Empire,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,47
Nyx Valerius,The Great Allied Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,81
Telas Storm,The Orionite Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,21
Rylan Sovereign,The Scientific Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,75
Zephyr Rifts,The Unified AI Hegemony,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,44
Nyx Aethel,The Thranis Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",30
Kael Frost,The Consolidated Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,58
Valerius Starlight,The Consolidated Scientific Systems,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,90
Aurelia Vex,The Great Unified Imperium,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,30
Aurelia Voidwalker,The Orionite Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",87
Sariel Dawn,The Consolidated Scientific Systems,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,80
Valerius Crown,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,89
Vanya Voidwalker,The Scientific Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,95
Valerius Sovereign,The Great Unified Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,50
Caelum Storm,The Great Scientific Imperium,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,37
Kaelen Helios,The Bulgian Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,29
Sienna Voidwalker,The Scientific AI Hegemony,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,77
Nyx Storm,The Great Bulgite Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",75
Valerius Zenith,The Great Allied Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Perseus Sector.,51
Cassian Kaelis,The Consolidated Scientific Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,69
Zephyr Thorne,The Great Kaelumian Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,76
Zephyr Kaelis,The Consolidated Valari Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,75
Zephyr Vex,The Consolidated Scientific Systems,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,90
Orion Vex,The Consolidated Consolidated Systems,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,69
Elora Rifts,The Gamma-cygnis Technocracy,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",41
Lyra Aethel,The Consolidated Star Empire,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,28
Cassian Skyward,The Unified AI Hegemony,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",29
Xerxes Apex,The Great Unified Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",96
Kael Helios,The Consolidated Consolidated Systems,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,20
Dorian Starlight,The Great Unified Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,76
Aurelia Ironclad,The Consolidated Consolidated Systems,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,61
Sylas Voidwalker,The Gamma-galacticis Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",60
Elora Nox,The Orionian Technocracy,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,55
Zephyr Frost,The Consolidated Xenian Systems,Diplomat,Drafted the original charter that established the first Galactic Federation.,89
Vesper Sol,The Unified AI Hegemony,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,76
Taron Skyward,The Orionex AI Hegemony,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",37
Cassian Crown,The Consolidated Zelis Systems,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,68
Dorian Vanguard,The Orionite AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",88
Rylan Valerius,The Great Unified Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,88
Zephyr Zenith,The Zylarian AI Hegemony,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,41
Elora Shadow,The Great Unified Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,62
Telas Helios,The Great Zelex Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,85
Kael Nova,The Orionite Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",95
Nyx Vex,The Consolidated Scientific Systems,Emperor,Survived three major destabilization espionage operations planned by rival empires.,57
Zephyr Apex,The Consolidated Unified Systems,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,59
Taron Starfall,The Unified Technocracy,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,64
Kael Apex,The Unified Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,60
Kaelen Dawn,The Allied Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",63
Vesper Nox,The Unified AI Hegemony,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,90
Rylan Skyward,The Consolidated Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,71
Aurelia Crown,The Scientific Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",23
Kael Frost,The Great Scientific Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",20
Cassian Zenith,The Unified AI Hegemony,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",93
Nyx Voidwalker,The Scientific Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",34
Myra Shadow,The Consolidated Consolidated Systems,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,69
Elora Helios,The Great Unified Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,78
Caelum Dawn,The Consolidated Star Empire,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,98
Caelum Kaelis,The Consolidated Consolidated Systems,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,50
Vanya Nova,The Zylarian Technocracy,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,85
Dorian Kaelis,The Consolidated Thranari Systems,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",74
Aurelia Storm,The Zylarian Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,91
Lyra Kaelis,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,77
Nyx Vex,The Omega-bulgis AI Hegemony,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,44
Thalia Crown,The Unified AI Hegemony,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,76
Valerius Frost,The Scientific AI Hegemony,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,57
Xerxes Storm,The Unified Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,78
Rylan Rifts,The Thranis Star Empire,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,34
Rylan Zenith,The Zylarian Star Empire,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",89
Zephyr Apex,The Consolidated Xi-sagittariis Systems,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,58
Cassian Nova,The Meran AI Hegemony,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",76
Sariel Apex,The Meran Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,98
Dorian Kaelis,The Great Consolidated Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,46
Rylan Aethel,The Vesperite AI Hegemony,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,41
Lyra Frost,The Great Orionian Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,32
Kaelen Aethel,The Great Zylarite Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,36
Jesper Voidwalker,The Consolidated Xi-sagittariis Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,70
Elora Shadow,The Great Xenoid Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,68
Aurelia Zenith,The Unified Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",85
Kael Vanguard,The Great Unified Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,20
Aurelia Crown,The Unified Technocracy,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,28
Sariel Skyward,The Great Scientific Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,83
Lyra Voidwalker,The Consolidated AI Hegemony,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,36
Taron Voidwalker,The Vesperan Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",25
Telas Helios,The Consolidated Thranari Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,76
Thalia Starfall,The Unified Star Empire,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,58
Valerius Shadow,The Unified Star Empire,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,30
Kaelen Starlight,The Great Unified Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,49
Jesper Helios,The Consolidated Consolidated Systems,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,81
Elora Nox,The Scientific Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,21
Zephyr Skyward,The Zylarian Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,81
Orion Thorne,The Zylarian AI Hegemony,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,33
Lyra Kaelis,The Great Scientific Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,38
Dorian Shadow,The Great Scientific Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",64
Thalia Ironclad,The Solite Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,47
