compression_scale,start_year,end_year,summary
100 Years,385100,385200,"Economic Event (Yr 385149): In Year 385149, industrial megacorporations in The Consolida..."
100 Years,385200,385300,"Peace Treaty Signing (Yr 385286): In Year 385286, the The Consolidated Scientific Systems and ... | Deep Space Engagement (Yr 385212): In Year 385212, a skirmish broke out in Centauri Minor betwe..."
100 Years,385300,385400,"Market Crash (Yr 385383): In Year 385383, industrial megacorporations in The Great Uni..."
100 Years,385400,385500,"Colonization (Yr 385449): In Year 385449, a joint colony was founded in Betelgeuse Bet..."
100 Years,385500,385600,"Colonization (Yr 385598): In Year 385598, The Bulgite Technocracy established a scienc... | Economic Event (Yr 385527): In Year 385527, The Sigma-orionis Star Empire experienced a ..."
100 Years,385600,385700,"Resource Catastrophe (Yr 385653): In Year 385653, a mysterious cosmic pandemic swept through V..."
100 Years,385700,385800,"Trade Agreement (Yr 385727): In Year 385727, a gold rush of rare FTL fuel elements trigge..."
100 Years,385800,385900,"FTL Network Failure (Yr 385810): In Year 385810, a rogue AI network in The Consolidated Conso... | Economic Event (Yr 385897): In Year 385897, a gold rush of rare FTL fuel elements trigge..."
100 Years,385900,386000,"Peace Treaty Signing (Yr 385954): In Year 385954, the The Great Unified Imperium and The Scien..."
100 Years,386000,386100,"FTL Network Failure (Yr 386037): In Year 386037, a mysterious cosmic pandemic swept through P... | Peace Treaty Signing (Yr 386087): In Year 386087, the The Unified AI Hegemony and The Great Un..."
100 Years,386100,386200,"Market Crash (Yr 386148): In Year 386148, resource depletion in the Polaris Sigma sect..."
100 Years,386200,386300,"War End (Yr 386253): In Year 386253, the The Bulgan Technocracy launched a surpri... | Colonization (Yr 386203): In Year 386203, The Great Unified Imperium established a sci..."
100 Years,386300,386400,"Colonization (Yr 386332): In Year 386332, a joint colony was founded in Polaris Minor ..."
100 Years,386400,386500,"Wormhole Collapse (Yr 386408): In Year 386408, a mysterious cosmic pandemic swept through P..."
100 Years,386500,386600,"Deep Space Engagement (Yr 386501): In Year 386501, a skirmish broke out in Centauri Major betwe... | Colonization (Yr 386596): In Year 386596, The Unified Technocracy established a scienc..."
100 Years,386600,386700,"FTL Network Failure (Yr 386663): In Year 386663, a rogue AI network in The Unified Technocrac..."
100 Years,386700,386800,"Market Crash (Yr 386758): In Year 386758, The Unified Technocracy experienced a massiv..."
100 Years,386800,386900,"Economic Collapse (Yr 386876): In Year 386876, industrial megacorporations in The Perseian ... | Colonization (Yr 386818): In Year 386818, The Unified AI Hegemony established a scienc..."
100 Years,386900,387000,"Pandemic Event (Yr 386931): In Year 386931, a mysterious cosmic pandemic swept through O... | Planetary Invasion (Yr 386983): In Year 386983, the The Unified AI Hegemony launched a surpr..."
100 Years,387000,387100,"Economic Collapse (Yr 387040): In Year 387040, industrial megacorporations in The Great Con..."
100 Years,387100,387200,"Colony Assault (Yr 387122): In Year 387122, a skirmish broke out in Rigel Major between ..."
100 Years,387200,387300,"Scientific Breakthrough (Yr 387221): In Year 387221, a breakthrough in zero-point energy generati..."
100 Years,387300,387400,"Economic Collapse (Yr 387313): In Year 387313, resource depletion in the Pollux Arm sector ... | Trade Agreement (Yr 387370): In Year 387370, The Persean AI Hegemony experienced a massiv..."
100 Years,387400,387500,"Wormhole Collapse (Yr 387468): In Year 387468, a mysterious cosmic pandemic swept through S..."
100 Years,387500,387600,"Colonization (Yr 387543): In Year 387543, colonial fleets from The Consolidated Consol..."
100 Years,387600,387700,"Scientific Breakthrough (Yr 387606): In Year 387606, The Consolidated Aurelari Systems successful..."
100 Years,387700,387800,"AI Uprising (Yr 387766): In Year 387766, a catastrophic solar flare in Procyon Beta d... | Orbital Battle (Yr 387701): In Year 387701, a skirmish broke out in Perseus Reach betwee..."
100 Years,387800,387900,"Colonization (Yr 387818): In Year 387818, a joint colony was founded in Antares Sigma ... | Colonization (Yr 387885): In Year 387885, The Kaelumis Technocracy established a scien..."
100 Years,387900,388000,"Economic Event (Yr 387946): In Year 387946, resource depletion in the Betelgeuse Nebula ..."
100 Years,388000,388100,"Peace Treaty Signing (Yr 388016): In Year 388016, The Scientific AI Hegemony acted as a peace ..."
100 Years,388100,388200,"AI Uprising (Yr 388104): In Year 388104, a catastrophic solar flare in Pollux Reach d... | Orbital Battle (Yr 388176): In Year 388176, The Consolidated Persean Systems successfull..."
100 Years,388200,388300,"Peace Treaty Signing (Yr 388237): In Year 388237, diplomatic relations between The Great Sigma..."
100 Years,388300,388400,"Galactic Federation (Yr 388303): In Year 388303, The Sagittarian Technocracy acted as a peace..."
100 Years,388400,388500,"Planetary Invasion (Yr 388401): In Year 388401, a skirmish broke out in Orion Expanse betwee... | Colonization (Yr 388472): In Year 388472, The Consolidated Star Empire established a s..."
100 Years,388500,388600,"Colonization (Yr 388530): In Year 388530, The Scientific Technocracy established a sci..."
100 Years,388600,388700,"Megastructure Completion (Yr 388602): In Year 388602, the The Consolidated Gaeian Systems complete... | Defense Pact (Yr 388665): In Year 388665, the The Unified Technocracy and The Consolid..."
100 Years,388700,388800,"Peace Treaty Signing (Yr 388744): In Year 388744, diplomatic relations between The Great Scien..."
100 Years,388800,388900,"Colonization (Yr 388808): In Year 388808, a joint colony was founded in Sagittarius Pr..."
100 Years,388900,389000,"Defense Pact (Yr 388902): In Year 388902, the The Vesperari Technocracy and The Consol... | Trade Agreement (Yr 388980): In Year 388980, The Great Meran Imperium experienced a massi..."
100 Years,389000,389100,"FTL Network Failure (Yr 389070): In Year 389070, the FTL jump gate in Orion Major suffered a ..."
100 Years,389100,389200,"Refugee Crisis (Yr 389161): In Year 389161, a rogue AI network in The Great Xenoid Imper..."
100 Years,389200,389300,"Colonization (Yr 389248): In Year 389248, The Scientific Technocracy established a sci..."
100 Years,389300,389400,"Market Crash (Yr 389339): In Year 389339, industrial megacorporations in The Consolida..."
100 Years,389400,389500,"Peace Treaty Signing (Yr 389479): In Year 389479, the The Great Consolidated Imperium and The ... | Scientific Breakthrough (Yr 389420): In Year 389420, The Sigma-orionis Star Empire successfully c..."
100 Years,389500,389600,"Colonization (Yr 389564): In Year 389564, colonial fleets from The Great Scientific Im..."
100 Years,389600,389700,"Planetary Invasion (Yr 389657): In Year 389657, The Scientific Technocracy successfully anne..."
100 Years,389700,389800,"Refugee Crisis (Yr 389739): In Year 389739, a catastrophic solar flare in Arcturus Minor..."
100 Years,389800,389900,"Galactic Federation (Yr 389832): In Year 389832, the The Scientific AI Hegemony and The Allie..."
100 Years,389900,390000,"Megastructure Completion (Yr 389922): In Year 389922, the The Great Scientific Imperium completed ... | Defense Pact (Yr 389991): In Year 389991, the The Merian AI Hegemony and The Great Con..."
100 Years,390000,390100,"Galactic Federation (Yr 390074): In Year 390074, diplomatic relations between The Great Unifi..."
100 Years,390100,390200,"Economic Collapse (Yr 390130): In Year 390130, The Unified Star Empire experienced a massiv..."
100 Years,390200,390300,"Galactic Federation (Yr 390216): In Year 390216, the The Consolidated Consolidated Systems an..."
100 Years,390300,390400,"Resource Catastrophe (Yr 390381): In Year 390381, a mysterious cosmic pandemic swept through V... | Market Crash (Yr 390301): In Year 390301, resource depletion in the Arcturus Beta sect..."
100 Years,390400,390500,"Colonization (Yr 390473): In Year 390473, colonial fleets from The Consolidated Scient..."
100 Years,390500,390600,"Economic Collapse (Yr 390570): In Year 390570, resource depletion in the Sirius Major secto..."
100 Years,390600,390700,"Resource Catastrophe (Yr 390633): In Year 390633, the FTL jump gate in Orion Expanse suffered ..."
100 Years,390700,390800,"Colony Assault (Yr 390708): In Year 390708, the The Great Allied Imperium launched a sur... | Scientific Breakthrough (Yr 390791): In Year 390791, The Perseian Technocracy successfully comple..."
100 Years,390800,390900,"Pandemic Event (Yr 390860): In Year 390860, a mysterious cosmic pandemic swept through A..."
100 Years,390900,391000,"Megastructure Completion (Yr 390927): In Year 390927, researchers in The Vesperis Star Empire achi... | Market Crash (Yr 390983): In Year 390983, a gold rush of rare FTL fuel elements trigge..."
100 Years,391000,391100,"Megastructure Completion (Yr 391048): In Year 391048, a breakthrough in zero-point energy generati..."
100 Years,391100,391200,"Colonization (Yr 391126): In Year 391126, colonial fleets from The Great Scientific Im..."
100 Years,391200,391300,"Megastructure Completion (Yr 391258): In Year 391258, the The Great Allied Imperium completed the ... | Colony Assault (Yr 391203): In Year 391203, a devastating fleet battle occurred in the R..."
100 Years,391300,391400,"Wormhole Collapse (Yr 391333): In Year 391333, a rogue AI network in The Scientific AI Hege... | Pandemic Event (Yr 391398): In Year 391398, a catastrophic solar flare in Sirius Sigma d..."
100 Years,391400,391500,"Market Crash (Yr 391467): In Year 391467, resource depletion in the Sirius Minor secto..."
100 Years,391500,391600,"Scientific Breakthrough (Yr 391523): In Year 391523, the The Great Scientific Imperium completed ..."
100 Years,391600,391700,"AI Uprising (Yr 391657): In Year 391657, a mysterious cosmic pandemic swept through B... | Galactic Federation (Yr 391607): In Year 391607, the The Aurelian Star Empire and The Great U..."
100 Years,391700,391800,"War Declaration (Yr 391797): In Year 391797, the The Scientific AI Hegemony launched a su... | Colonization (Yr 391736): In Year 391736, a joint colony was founded in Orion Expanse ..."
100 Years,391800,391900,"Colonization (Yr 391882): In Year 391882, a joint colony was founded in Sagittarius Pr..."
100 Years,391900,392000,"Trade Agreement (Yr 391951): In Year 391951, The Great Cygnan Imperium experienced a mass..."
100 Years,392000,392100,"FTL Network Failure (Yr 392097): In Year 392097, a catastrophic solar flare in Perseus Minor ... | Deep Space Engagement (Yr 392046): In Year 392046, a devastating fleet battle occurred in the P..."
100 Years,392100,392200,"Market Crash (Yr 392151): In Year 392151, resource depletion in the Orion Nebula secto..."
100 Years,392200,392300,"War Declaration (Yr 392294): In Year 392294, The Unified Star Empire successfully annexed... | Colonization (Yr 392204): In Year 392204, a joint colony was founded in Centauri Beta ..."
100 Years,392300,392400,"Resource Catastrophe (Yr 392380): In Year 392380, a rogue AI network in The Great Scientific I..."
100 Years,392400,392500,"Colonization (Yr 392430): In Year 392430, a joint colony was founded in Aldebaran Majo..."
100 Years,392500,392600,"War End (Yr 392515): In Year 392515, the The Aurelian Star Empire launched a surp... | Alliance Formation (Yr 392579): In Year 392579, diplomatic relations between The Great Scien..."
100 Years,392600,392700,"Planetary Invasion (Yr 392631): In Year 392631, the The Aurelan Star Empire launched a surpr..."
100 Years,392700,392800,"Pandemic Event (Yr 392712): In Year 392712, the FTL jump gate in Castor Sigma suffered a... | Scientific Breakthrough (Yr 392762): In Year 392762, researchers in The Great Merian Imperium ach..."
100 Years,392800,392900,"Colonization (Yr 392859): In Year 392859, a joint colony was founded in Sagittarius Ex..."
100 Years,392900,393000,"Megastructure Completion (Yr 392932): In Year 392932, The Orionex AI Hegemony successfully complet..."
100 Years,393000,393100,"Planetary Invasion (Yr 393017): In Year 393017, the The Consolidated Consolidated Systems la..."
100 Years,393100,393200,"Colonization (Yr 393112): In Year 393112, colonial fleets from The Great Persean Imper..."
100 Years,393200,393300,"Refugee Crisis (Yr 393209): In Year 393209, a mysterious cosmic pandemic swept through V..."
100 Years,393300,393400,"Colonization (Yr 393309): In Year 393309, a joint colony was founded in Centauri Prime..."
100 Years,393400,393500,"Alliance Formation (Yr 393455): In Year 393455, the The Consolidated Unified Systems and The... | Colonization (Yr 393404): In Year 393404, a joint colony was founded in Sagittarius Si..."
100 Years,393500,393600,"AI Uprising (Yr 393532): In Year 393532, a catastrophic solar flare in Centauri Arm d... | Economic Collapse (Yr 393582): In Year 393582, a gold rush of rare FTL fuel elements trigge..."
100 Years,393600,393700,"Wormhole Collapse (Yr 393648): In Year 393648, the FTL jump gate in Polaris Sigma suffered ..."
100 Years,393700,393800,"War End (Yr 393734): In Year 393734, the The Consolidated Unified Systems launche..."
100 Years,393800,393900,"Colonization (Yr 393810): In Year 393810, The Great Scientific Imperium established a ..."
100 Years,393900,394000,"Refugee Crisis (Yr 393903): In Year 393903, a rogue AI network in The Unified AI Hegemon... | Colonization (Yr 393972): In Year 393972, The Unified Technocracy established a scienc..."
100 Years,394000,394100,"Galactic Federation (Yr 394033): In Year 394033, The Unified Technocracy acted as a peace med..."
100 Years,394100,394200,"War End (Yr 394188): In Year 394188, The Orionex AI Hegemony successfully annexed... | Deep Space Engagement (Yr 394105): In Year 394105, a skirmish broke out in Rigel Reach between ..."
100 Years,394200,394300,"Peace Treaty Signing (Yr 394275): In Year 394275, diplomatic relations between The Great Scien..."
100 Years,394300,394400,"Scientific Breakthrough (Yr 394332): In Year 394332, The Consolidated Chi-bulgis Systems successf..."
100 Years,394400,394500,"Economic Collapse (Yr 394415): In Year 394415, resource depletion in the Sagittarius Minor ... | Peace Treaty Signing (Yr 394488): In Year 394488, The Consolidated Kaelumex Systems acted as a..."
100 Years,394500,394600,"Scientific Breakthrough (Yr 394542): In Year 394542, the The Consolidated Valari Systems complete..."
100 Years,394600,394700,"Galactic Federation (Yr 394609): In Year 394609, diplomatic relations between The Great Scien... | Colonization (Yr 394692): In Year 394692, a joint colony was founded in Orion Reach by..."
100 Years,394700,394800,"War Declaration (Yr 394748): In Year 394748, a devastating fleet battle occurred in the A..."
100 Years,394800,394900,"Alliance Formation (Yr 394810): In Year 394810, the The Allied Star Empire and The Consolida... | Trade Agreement (Yr 394899): In Year 394899, The Unified AI Hegemony experienced a massiv..."
100 Years,394900,395000,"FTL Network Failure (Yr 394954): In Year 394954, the FTL jump gate in Antares Minor suffered ..."
100 Years,395000,395100,"Economic Event (Yr 395021): In Year 395021, resource depletion in the Betelgeuse Beta se..."
100 Years,395100,395200,"Scientific Breakthrough (Yr 395111): In Year 395111, a breakthrough in zero-point energy generati... | Alliance Formation (Yr 395188): In Year 395188, diplomatic relations between The Unified AI ..."
100 Years,395200,395300,"Planetary Invasion (Yr 395279): In Year 395279, the joint fleets of The Primite Star Empire ..."
100 Years,395300,395400,"Pandemic Event (Yr 395351): In Year 395351, a catastrophic solar flare in Polaris Nebula..."
100 Years,395400,395500,"Market Crash (Yr 395431): In Year 395431, The Consolidated Zeloid Systems experienced ..."
100 Years,395500,395600,"Peace Treaty Signing (Yr 395515): In Year 395515, diplomatic relations between The Great Allie..."
100 Years,395600,395700,"AI Uprising (Yr 395690): In Year 395690, the FTL jump gate in Betelgeuse Nebula suffe... | Galactic Federation (Yr 395605): In Year 395605, the The Unified Star Empire and The Scientif..."
100 Years,395700,395800,"Resource Catastrophe (Yr 395754): In Year 395754, a mysterious cosmic pandemic swept through C..."
100 Years,395800,395900,"Scientific Breakthrough (Yr 395831): In Year 395831, the The Thranite Star Empire completed the c..."
100 Years,395900,396000,"Planetary Invasion (Yr 395926): In Year 395926, a devastating fleet battle occurred in the P... | Colonization (Yr 395980): In Year 395980, a joint colony was founded in Aldebaran Mino..."
100 Years,396000,396100,"Scientific Breakthrough (Yr 396079): In Year 396079, researchers in The Valite Technocracy achiev..."
100 Years,396100,396200,"Market Crash (Yr 396147): In Year 396147, The Consolidated Scientific Systems experien..."
100 Years,396200,396300,"Market Crash (Yr 396221): In Year 396221, industrial megacorporations in The Consolida..."
100 Years,396300,396400,"Defense Pact (Yr 396373): In Year 396373, diplomatic relations between The Consolidate... | Market Crash (Yr 396316): In Year 396316, The Unified Star Empire experienced a massiv..."
100 Years,396400,396500,"Deep Space Engagement (Yr 396450): In Year 396450, the The Aurelan Technocracy launched a surpr..."
100 Years,396500,396600,"Pandemic Event (Yr 396518): In Year 396518, a catastrophic solar flare in Arcturus Arm d... | Colonization (Yr 396594): In Year 396594, The Great Unified Imperium established a sci..."
100 Years,396600,396700,"Megastructure Completion (Yr 396667): In Year 396667, the The Zelian AI Hegemony completed the con..."
100 Years,396700,396800,"AI Uprising (Yr 396748): In Year 396748, a mysterious cosmic pandemic swept through S..."
100 Years,396800,396900,"Colonization (Yr 396869): In Year 396869, The Bulgian Star Empire established a scienc... | Economic Event (Yr 396812): In Year 396812, resource depletion in the Castor Beta sector..."
100 Years,396900,397000,"Economic Event (Yr 396965): In Year 396965, resource depletion in the Capella Expanse se..."
100 Years,397000,397100,"Scientific Breakthrough (Yr 397063): In Year 397063, researchers in The Orionex AI Hegemony achie..."
100 Years,397100,397200,"Orbital Battle (Yr 397148): In Year 397148, the joint fleets of The Great Unified Imperi..."
100 Years,397200,397300,"Megastructure Completion (Yr 397232): In Year 397232, The Consolidated Unified Systems successfull... | War Declaration (Yr 397295): In Year 397295, The Great Consolidated Imperium successfully..."
100 Years,397300,397400,"Megastructure Completion (Yr 397393): In Year 397393, The Consolidated Unified Systems successfull..."
100 Years,397400,397500,"Defense Pact (Yr 397457): In Year 397457, the The Aurelari Technocracy and The Great T..."
100 Years,397500,397600,"Pandemic Event (Yr 397540): In Year 397540, a rogue AI network in The Thranis Star Empir... | Trade Agreement (Yr 397596): In Year 397596, a gold rush of rare FTL fuel elements trigge..."
100 Years,397600,397700,"Scientific Breakthrough (Yr 397681): In Year 397681, a breakthrough in zero-point energy generati..."
100 Years,397700,397800,"Planetary Invasion (Yr 397771): In Year 397771, a skirmish broke out in Arcturus Nebula betw..."
100 Years,397800,397900,"FTL Network Failure (Yr 397856): In Year 397856, a mysterious cosmic pandemic swept through A..."
100 Years,397900,398000,"Orbital Battle (Yr 397954): In Year 397954, a skirmish broke out in Capella Nebula betwe..."
100 Years,398000,398100,"Megastructure Completion (Yr 398035): In Year 398035, The Solari Technocracy successfully complete..."
100 Years,398100,398200,"Economic Collapse (Yr 398108): In Year 398108, a gold rush of rare FTL fuel elements trigge... | FTL Network Failure (Yr 398174): In Year 398174, a mysterious cosmic pandemic swept through P..."
100 Years,398200,398300,"Peace Treaty Signing (Yr 398258): In Year 398258, The Great Unified Imperium acted as a peace ..."
100 Years,398300,398400,"Colonization (Yr 398346): In Year 398346, The Allied Technocracy established a science..."
100 Years,398400,398500,"Megastructure Completion (Yr 398461): In Year 398461, The Great Allied Imperium successfully compl... | Alliance Formation (Yr 398400): In Year 398400, the The Consolidated Aurelari Systems and Th..."
100 Years,398500,398600,"Deep Space Engagement (Yr 398549): In Year 398549, the joint fleets of The Great Scientific Imp..."
100 Years,398600,398700,"Megastructure Completion (Yr 398679): In Year 398679, The Consolidated Scientific Systems successf... | Economic Event (Yr 398628): In Year 398628, industrial megacorporations in The Nu-cygnis..."
100 Years,398700,398800,"Deep Space Engagement (Yr 398731): In Year 398731, a devastating fleet battle occurred in the C..."
100 Years,398800,398900,"Resource Catastrophe (Yr 398867): In Year 398867, a rogue AI network in The Consolidated Zelar... | Colonization (Yr 398800): In Year 398800, colonial fleets from The Consolidated Thrani..."
100 Years,398900,399000,"Peace Treaty Signing (Yr 398945): In Year 398945, The Great Allied Imperium acted as a peace m..."
100 Years,399000,399100,"Megastructure Completion (Yr 399038): In Year 399038, the The Great Unified Imperium completed the..."
100 Years,399100,399200,"FTL Network Failure (Yr 399125): In Year 399125, a catastrophic solar flare in Procyon Minor ..."
100 Years,399200,399300,"Colonization (Yr 399223): In Year 399223, colonial fleets from The Galactician Technoc..."
100 Years,399300,399400,"Defense Pact (Yr 399310): In Year 399310, The Great Consolidated Imperium acted as a p... | Peace Treaty Signing (Yr 399384): In Year 399384, The Kaelumis Technocracy acted as a peace me..."
100 Years,399400,399500,"Colonization (Yr 399459): In Year 399459, a joint colony was founded in Capella Expans..."
100 Years,399500,399600,"Scientific Breakthrough (Yr 399525): In Year 399525, a breakthrough in zero-point energy generati..."
100 Years,399600,399700,"Refugee Crisis (Yr 399684): In Year 399684, a rogue AI network in The Consolidated Delta... | Economic Event (Yr 399603): In Year 399603, The Great Cygnian Imperium experienced a mas..."
100 Years,399700,399800,"Galactic Federation (Yr 399759): In Year 399759, the The Unified Technocracy and The Great Co..."
100 Years,399800,399900,"AI Uprising (Yr 399831): In Year 399831, a catastrophic solar flare in Arcturus Beta ... | Colonization (Yr 399894): In Year 399894, The Consolidated Consolidated Systems establ..."
100 Years,399900,400000,"Economic Event (Yr 399970): In Year 399970, industrial megacorporations in The Scientifi..."
100 Years,400000,400100,"War Declaration (Yr 400049): In Year 400049, the The Great Galactican Imperium launched a..."
100 Years,400100,400200,"War Declaration (Yr 400144): In Year 400144, the The Great Solis Imperium launched a surp..."
100 Years,400200,400300,"Economic Collapse (Yr 400294): In Year 400294, resource depletion in the Antares Beta secto... | Resource Catastrophe (Yr 400227): In Year 400227, a catastrophic solar flare in Rigel Expanse ..."
100 Years,400300,400400,"Peace Treaty Signing (Yr 400352): In Year 400352, the The Thranis Star Empire and The Perseite..."
100 Years,400400,400500,"Deep Space Engagement (Yr 400450): In Year 400450, the The Consolidated Technocracy launched a ..."
100 Years,400500,400600,"Colonization (Yr 400530): In Year 400530, colonial fleets from The Orionite Technocrac..."
100 Years,400600,400700,"Galactic Federation (Yr 400682): In Year 400682, The Meran AI Hegemony acted as a peace media... | Defense Pact (Yr 400616): In Year 400616, diplomatic relations between The Meran AI He..."
100 Years,400700,400800,"Economic Event (Yr 400762): In Year 400762, industrial megacorporations in The Unified T..."
100 Years,400800,400900,"Planetary Invasion (Yr 400823): In Year 400823, a skirmish broke out in Pollux Nebula betwee..."
100 Years,400900,401000,"War End (Yr 400921): In Year 400921, the The Consolidated Epsilon-perseis Systems... | Colonization (Yr 400982): In Year 400982, colonial fleets from The Meran AI Hegemony s..."
100 Years,401000,401100,"Market Crash (Yr 401063): In Year 401063, industrial megacorporations in The Orionex A..."
100 Years,401100,401200,"War Declaration (Yr 401139): In Year 401139, the joint fleets of The Unified Technocracy ... | Colonization (Yr 401191): In Year 401191, colonial fleets from The Great Zylarian Impe..."
100 Years,401200,401300,"Scientific Breakthrough (Yr 401272): In Year 401272, a breakthrough in zero-point energy generati..."
100 Years,401300,401400,"Market Crash (Yr 401322): In Year 401322, resource depletion in the Polaris Sigma sect..."
100 Years,401400,401500,"Pandemic Event (Yr 401472): In Year 401472, a mysterious cosmic pandemic swept through C... | Market Crash (Yr 401415): In Year 401415, The Scientific AI Hegemony experienced a mas..."
100 Years,401500,401600,"Megastructure Completion (Yr 401569): In Year 401569, a breakthrough in zero-point energy generati..."
100 Years,401600,401700,"Planetary Invasion (Yr 401694): In Year 401694, The Scientific Technocracy successfully anne... | Colonization (Yr 401621): In Year 401621, colonial fleets from The Consolidated Xenian..."
100 Years,401700,401800,"Alliance Formation (Yr 401767): In Year 401767, diplomatic relations between The Scientific ..."
100 Years,401800,401900,"Wormhole Collapse (Yr 401831): In Year 401831, a mysterious cosmic pandemic swept through C... | War End (Yr 401881): In Year 401881, the joint fleets of The Great Consolidated I..."
100 Years,401900,402000,"Peace Treaty Signing (Yr 401981): In Year 401981, diplomatic relations between The Great Scien..."
100 Years,402000,402100,"Alliance Formation (Yr 402071): In Year 402071, the The Great Kaelumian Imperium and The Val..."
100 Years,402100,402200,"Colonization (Yr 402126): In Year 402126, a joint colony was founded in Vega Prime by ..."
100 Years,402200,402300,"Colonization (Yr 402209): In Year 402209, a joint colony was founded in Sagittarius Ne... | Colonization (Yr 402292): In Year 402292, colonial fleets from The Scientific Technocr..."
100 Years,402300,402400,"Defense Pact (Yr 402373): In Year 402373, the The Unified AI Hegemony and The Consolid..."
100 Years,402400,402500,"Economic Event (Yr 402456): In Year 402456, The Omega-bulgis AI Hegemony experienced a m..."
100 Years,402500,402600,"Galactic Federation (Yr 402533): In Year 402533, the The Great Scientific Imperium and The Al..."
100 Years,402600,402700,"Colonization (Yr 402624): In Year 402624, a joint colony was founded in Orion Nebula b..."
100 Years,402700,402800,"Alliance Formation (Yr 402711): In Year 402711, the The Consolidated Thranari Systems and Th..."
100 Years,402800,402900,"Scientific Breakthrough (Yr 402808): In Year 402808, a breakthrough in zero-point energy generati... | Colonization (Yr 402876): In Year 402876, a joint colony was founded in Vega Sigma by ..."
100 Years,402900,403000,"Orbital Battle (Yr 402952): In Year 402952, The Great Consolidated Imperium successfully..."
100 Years,403000,403100,"Refugee Crisis (Yr 403052): In Year 403052, a mysterious cosmic pandemic swept through P..."
100 Years,403100,403200,"Megastructure Completion (Yr 403177): In Year 403177, The Great Consolidated Imperium successfully... | Refugee Crisis (Yr 403106): In Year 403106, a mysterious cosmic pandemic swept through C..."
100 Years,403200,403300,"Economic Event (Yr 403238): In Year 403238, The Unified Technocracy experienced a massiv..."
100 Years,403300,403400,"FTL Network Failure (Yr 403379): In Year 403379, a catastrophic solar flare in Betelgeuse Min... | Megastructure Completion (Yr 403306): In Year 403306, researchers in The Scientific Technocracy ac..."
100 Years,403400,403500,"Galactic Federation (Yr 403456): In Year 403456, The Unified AI Hegemony acted as a peace med..."
100 Years,403500,403600,"Wormhole Collapse (Yr 403527): In Year 403527, the FTL jump gate in Sirius Reach suffered a..."
100 Years,403600,403700,"Refugee Crisis (Yr 403605): In Year 403605, a rogue AI network in The Great Unified Impe... | Peace Treaty Signing (Yr 403664): In Year 403664, The Unified Star Empire acted as a peace med..."
100 Years,403700,403800,"Colonization (Yr 403737): In Year 403737, The Aethelgardan AI Hegemony established a s..."
100 Years,403800,403900,"Scientific Breakthrough (Yr 403866): In Year 403866, the The Allied Star Empire completed the con... | Trade Agreement (Yr 403805): In Year 403805, industrial megacorporations in The Great Gal..."
100 Years,403900,404000,"Pandemic Event (Yr 403948): In Year 403948, the FTL jump gate in Rigel Minor suffered a ..."
100 Years,404000,404100,"Colonization (Yr 404030): In Year 404030, The Consolidated Xenian Systems established ..."
100 Years,404100,404200,"FTL Network Failure (Yr 404101): In Year 404101, a mysterious cosmic pandemic swept through C... | Colony Assault (Yr 404176): In Year 404176, a devastating fleet battle occurred in the P..."
100 Years,404200,404300,"Colonization (Yr 404262): In Year 404262, colonial fleets from The Great Allied Imperi..."
100 Years,404300,404400,"Deep Space Engagement (Yr 404350): In Year 404350, The Great Kaelumite Imperium successfully an..."
100 Years,404400,404500,"Deep Space Engagement (Yr 404425): In Year 404425, the joint fleets of The Unified AI Hegemony ..."
100 Years,404500,404600,"Wormhole Collapse (Yr 404592): In Year 404592, a rogue AI network in The Consolidated Delta... | Scientific Breakthrough (Yr 404502): In Year 404502, the The Great Scientific Imperium completed ..."
100 Years,404600,404700,"AI Uprising (Yr 404660): In Year 404660, a catastrophic solar flare in Procyon Expans..."
100 Years,404700,404800,"Alliance Formation (Yr 404757): In Year 404757, diplomatic relations between The Unified AI ..."
100 Years,404800,404900,"Megastructure Completion (Yr 404818): In Year 404818, The Unified AI Hegemony successfully complet... | Scientific Breakthrough (Yr 404869): In Year 404869, the The Scientific Technocracy completed the..."
100 Years,404900,405000,"AI Uprising (Yr 404947): In Year 404947, a catastrophic solar flare in Rigel Sigma de..."
100 Years,405000,405100,"Economic Collapse (Yr 405033): In Year 405033, resource depletion in the Rigel Sigma sector..."
100 Years,405100,405200,"Pandemic Event (Yr 405122): In Year 405122, the FTL jump gate in Polaris Nebula suffered... | Trade Agreement (Yr 405199): In Year 405199, The Great Unified Imperium experienced a mas..."
100 Years,405200,405300,"Pandemic Event (Yr 405273): In Year 405273, a catastrophic solar flare in Capella Expans..."
100 Years,405300,405400,"Planetary Invasion (Yr 405365): In Year 405365, the joint fleets of The Aurelex Star Empire ..."
100 Years,405400,405500,"Economic Collapse (Yr 405457): In Year 405457, resource depletion in the Sagittarius Beta s..."
100 Years,405500,405600,"Megastructure Completion (Yr 405520): In Year 405520, researchers in The Iota-sagittariis Technocr... | Market Crash (Yr 405596): In Year 405596, resource depletion in the Sagittarius Sigma ..."
100 Years,405600,405700,"Resource Catastrophe (Yr 405667): In Year 405667, the FTL jump gate in Castor Expanse suffered..."
100 Years,405700,405800,"Megastructure Completion (Yr 405759): In Year 405759, researchers in The Great Unified Imperium ac..."
100 Years,405800,405900,"Megastructure Completion (Yr 405856): In Year 405856, The Great Scientific Imperium successfully c..."
100 Years,405900,406000,"Peace Treaty Signing (Yr 405932): In Year 405932, the The Unified Technocracy and The Consolid..."
