tick,year,civilization_id,civilization_name,decision,reason,result
5,500,f7a8fcf1b2,Scientific Aurelari Union,RESEARCH,Research priorities chosen due to curiosity (88.6) and tech potential (17.5).,Technological level increased by 0.139 to 9.901.
5,500,8c80ad65b6,Orionex Directorate,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (37.9).,Gained 300.0 resource units and +5.0 stability.
5,500,65154f1c30,Scientific Kaeluman Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,e6f9f9e411,Unified Kaelumex Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (19.3).,Technological level increased by 0.150 to 9.458.
5,500,24e153416d,Unified Aurelis Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (32.0).,Gained 300.0 resource units and +5.0 stability.
5,500,38ade68c1e,Scientific Thranex Union,RESEARCH,Research priorities chosen due to curiosity (93.7) and tech potential (17.1).,Technological level increased by 0.144 to 8.350.
5,500,eacab5ee97,Thranan Directorate,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (38.5).,Gained 300.0 resource units and +5.0 stability.
5,500,fadaa4a404,Valian Directorate,RESEARCH,Research priorities chosen due to curiosity (92.9) and tech potential (18.7).,Technological level increased by 0.143 to 10.317.
5,500,ebda9e7b67,Solite Directorate,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
5,500,de8a7cab3b,Unified Merian Council,RESEARCH,Research priorities chosen due to curiosity (87.5) and tech potential (17.6).,Technological level increased by 0.137 to 10.277.
5,500,5573af18db,Merian Directorate,RESEARCH,Research priorities chosen due to curiosity (83.1) and tech potential (16.8).,Technological level increased by 0.133 to 10.414.
5,500,e13216033f,Meroid Directorate,BUILD_MEGASTRUCTURE,Advanced megastructure engineering for Matrioshka Brain.,Advanced Matrioshka Brain construction progress by 18.4% to 28.4%.
5,500,bee1d78260,Zylarian Commonwealth,ALLY,Diplomatic outreach for alliance sent to Merian Directorate (distance: 0.0 LY).,Merian Directorate immediately rejected alliance from Zylarian Commonwealth due to low relations (-100.0).
5,500,2a8b6fc81d,Unified Zylarite Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,2320636026,Unified Valian Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,e976b29c9d,Scientific Orionoid Union,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (33.2).,Gained 300.0 resource units and +5.0 stability.
5,500,dc0074adc3,Unified Valite Council,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
5,500,303a3df484,Unified Zelex Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (19.4).,Technological level increased by 0.150 to 9.542.
5,500,02b9381952,Aurelian Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0). Broke trade treaties with Unified Valite Council.
5,500,08caaac3af,Unified Orionian Council,RESEARCH,Research priorities chosen due to curiosity (89.9) and tech potential (18.4).,Technological level increased by 0.140 to 10.561.
5,500,0ad458611c,Unified Orionian Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,c2fe0ab024,Unified Orionan Council,DEFEND,High threat (73.7) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,91474e8269,Vesperian Directorate,RESEARCH,Research priorities chosen due to curiosity (97.4) and tech potential (19.8).,Technological level increased by 0.147 to 10.455.
5,500,32d2bbd884,Unified Zelan Council,ALLY,Diplomatic outreach for alliance sent to Vesperian Directorate (distance: 0.0 LY).,Vesperian Directorate immediately rejected alliance from Unified Zelan Council due to low relations (4.7).
5,500,f343101fe6,Unified Aurelari Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0). Broke trade treaties with Merian Commonwealth.
5,500,1cf19da3a9,Unified Merex Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,fc241018ec,Kaelumis Directorate,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
5,500,2c6958242d,Merian Commonwealth,DEFEND,High threat (61.3) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,950050e41a,Zylarite Commonwealth,TRADE,Proposed trade agreement to neighbor Unified Xenian Council (distance: 0.0 LY).,Trade treaty established between Zylarite Commonwealth and Unified Xenian Council.
5,500,2e4e7545f5,Unified Xenian Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (40.5).,Gained 300.0 resource units and +5.0 stability.
5,500,f9c2058d1a,Zylarian Directorate,RESEARCH,Research priorities chosen due to curiosity (83.9) and tech potential (14.8).,Technological level increased by 0.134 to 7.722.
5,500,28100766c8,Bulgite Directorate,RESEARCH,Research priorities chosen due to curiosity (82.0) and tech potential (16.2).,Technological level increased by 0.132 to 9.840.
5,500,bbf8578e8c,Unified Orionite Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,8478dfd6f7,Merari Directorate,TRADE,Proposed trade agreement to neighbor Unified Orionite Council (distance: 0.0 LY).,Unified Orionite Council declined trade proposal from Merari Directorate.
5,500,6f1e390274,Kaelumis Directorate,BUILD_MEGASTRUCTURE,Advanced megastructure engineering for Ringworld.,Advanced Ringworld construction progress by 17.8% to 27.8%.
5,500,b12b67a0db,Unified Zelian Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (31.6).,Gained 300.0 resource units and +5.0 stability.
5,500,28728de334,Scientific Xenite Union,RESEARCH,Research priorities chosen due to curiosity (92.4) and tech potential (18.6).,Technological level increased by 0.142 to 10.283.
5,500,5d6505f12a,Unified Aurelis Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (19.3).,Technological level increased by 0.150 to 9.441.
5,500,2c64149009,Unified Vesperex Council,RESEARCH,Research priorities chosen due to curiosity (86.0) and tech potential (17.3).,Technological level increased by 0.136 to 10.280.
5,500,ed45fe3a8d,Vesperari Directorate,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
5,500,b1f20b8a8c,The Aurelan Federation,RESEARCH,Research priorities chosen due to curiosity (68.0) and tech potential (13.8).,Technological level increased by 0.118 to 10.398.
5,500,43cb04ad80,Xenoid Directorate,ALLY,No alliance targets found within proximity.,Fell back to defense posturing: boosted stability by +10.0.
5,500,3a375c2f6d,Scientific Xenan Union,RESEARCH,Research priorities chosen due to curiosity (79.4) and tech potential (15.4).,Technological level increased by 0.129 to 9.518.
5,500,0fa7096d5a,Zelis Directorate,TRADE,Proposed trade agreement to neighbor Scientific Xenan Union (distance: 0.0 LY).,Scientific Xenan Union declined trade proposal from Zelis Directorate.
5,500,3c196b299c,Scientific Vesperari Union,RESEARCH,Research priorities chosen due to curiosity (91.1) and tech potential (17.5).,Technological level increased by 0.141 to 9.302.
5,500,1a67be5b7f,Scientific Zelite Union,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,862f6cbc45,Unified Thranan Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,9883f23173,Consolidated Aureloid Worlds,RESEARCH,Research priorities chosen due to curiosity (70.8) and tech potential (14.3).,Technological level increased by 0.121 to 10.369.
5,500,22c13af7a1,Unified Vesperoid Council,RESEARCH,Research priorities chosen due to curiosity (80.5) and tech potential (15.8).,Technological level increased by 0.131 to 9.720.
5,500,ac70f57b73,Unified Solex Council,RESEARCH,Research priorities chosen due to curiosity (91.3) and tech potential (18.5).,Technological level increased by 0.141 to 10.443.
5,500,60a971a839,Cygnan Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,e941b86692,Cygnite Commonwealth,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (30.3).,Gained 300.0 resource units and +5.0 stability.
5,500,8dcb447d0f,Cygnian Directorate,RESEARCH,Research priorities chosen due to curiosity (90.3) and tech potential (17.9).,Technological level increased by 0.140 to 10.011.
5,500,0130446f7e,Scientific Kaelumis Union,RESEARCH,Research priorities chosen due to curiosity (90.5) and tech potential (17.9).,Technological level increased by 0.140 to 9.982.
5,500,d1ebd8161b,Unified Meran Council,TRADE,Proposed trade agreement to neighbor Scientific Kaelumis Union (distance: 0.0 LY).,Trade treaty established between Unified Meran Council and Scientific Kaelumis Union.
5,500,d056d7ce4a,Scientific Thranex Union,RESEARCH,Research priorities chosen due to curiosity (86.1) and tech potential (16.9).,Technological level increased by 0.136 to 9.769.
5,500,74136dc7b0,The Solari Federation,BUILD_MEGASTRUCTURE,Advanced megastructure engineering for Orbital Ring.,Advanced Orbital Ring construction progress by 16.6% to 43.3%.
5,500,61dc46303f,Consolidated Zelis Worlds,RESEARCH,Research priorities chosen due to curiosity (74.0) and tech potential (13.4).,Technological level increased by 0.124 to 8.274.
5,500,8fbf42f886,Vesperis Commonwealth,BUILD_MEGASTRUCTURE,Started construction of Dyson Swarm to boost galactic Kardashev footprint.,Initiated Dyson Swarm project (progress: 10%). Spent 800 resources.
5,500,7388512271,Unified Orionari Council,RESEARCH,Research priorities chosen due to curiosity (90.0) and tech potential (16.6).,Technological level increased by 0.140 to 8.599.
5,500,b6ae409cbf,Unified Vesperite Council,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
5,500,622de7102b,Orionite Commonwealth,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,996190e522,Orionan Directorate,RESEARCH,Research priorities chosen due to curiosity (93.4) and tech potential (18.9).,Technological level increased by 0.143 to 10.438.
5,500,f7bd18e491,Thranis Commonwealth,BUILD_MEGASTRUCTURE,Started construction of Dyson Sphere to boost galactic Kardashev footprint.,Initiated Dyson Sphere project (progress: 10%). Spent 800 resources.
5,500,556d6c2378,Meroid Directorate,TRADE,Proposed trade agreement to neighbor Consolidated Merian Worlds (distance: 0.0 LY).,Consolidated Merian Worlds declined trade proposal from Meroid Directorate.
5,500,ff559623e3,Consolidated Merian Worlds,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (41.1).,Gained 300.0 resource units and +5.0 stability.
5,500,a38e0777cd,Zelex Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,4c2540c708,Unified Orionoid Council,RESEARCH,Research priorities chosen due to curiosity (90.8) and tech potential (18.3).,Technological level increased by 0.141 to 10.311.
5,500,b7069c3852,Unified Orionex Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,81714ff4c3,Consolidated Xenari Worlds,RESEARCH,Research priorities chosen due to curiosity (72.1) and tech potential (13.2).,Technological level increased by 0.122 to 8.398.
5,500,f3f5dfde4c,Scientific Zelis Union,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
5,500,e12feef736,Scientific Kaeluman Union,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (31.0).,Gained 300.0 resource units and +5.0 stability.
5,500,fba15f0324,Unified Vesperoid Council,RESEARCH,Research priorities chosen due to curiosity (77.3) and tech potential (15.7).,Technological level increased by 0.127 to 10.436.
5,500,350e107aae,Allied Aurelan Systems,ATTACK,Military conquest declared due to aggression (56.2) and poor relationships.,"WAR OUTCOME: Coalition [Scientific Kaeluman Union] successfully defended against Coalition [Allied Aurelan Systems]. Attacker Allied Aurelan Systems suffered military defeat, losing 2,650,609,517 population and paying 453.0 resources in reparations."
5,500,22091a7056,Scientific Zylaris Union,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,03d3903c7c,Unified Orionex Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,2211d3100d,Kaelumex Directorate,BUILD_MEGASTRUCTURE,Started construction of Ringworld to boost galactic Kardashev footprint.,Initiated Ringworld project (progress: 10%). Spent 800 resources.
5,500,459f704847,Thranari Directorate,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,575810e85b,Scientific Orionex Union,RESEARCH,Research priorities chosen due to curiosity (94.1) and tech potential (19.1).,Technological level increased by 0.144 to 10.474.
5,500,182edcdd37,Aurelan Commonwealth,RESEARCH,Research priorities chosen due to curiosity (69.6) and tech potential (12.6).,Technological level increased by 0.120 to 8.268.
5,500,e47a782635,The Xi-sagittariis Federation,TRADE,No eligible trading partners within proximity.,Fell back to local expansion: gained 150 resources.
5,500,2705d84a32,Unified Vesperari Council,RESEARCH,Research priorities chosen due to curiosity (86.8) and tech potential (16.6).,Technological level increased by 0.137 to 9.236.
5,500,92810d80b3,The Aurelis Federation,RESEARCH,Research priorities chosen due to curiosity (63.3) and tech potential (11.1).,Technological level increased by 0.113 to 7.651.
5,500,7e5521abbb,Scientific Kaelumis Union,ALLY,Diplomatic outreach for alliance sent to Allied Zylarian Systems (distance: 0.0 LY).,Allied Zylarian Systems immediately rejected alliance from Scientific Kaelumis Union due to low relations (5.7).
5,500,b9ec32251d,Allied Zylarian Systems,RESEARCH,Research priorities chosen due to curiosity (68.0) and tech potential (13.2).,Technological level increased by 0.118 to 9.508.
5,500,7c376afd56,The Kaelumis Federation,DEFEND,High threat (65.0) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,0cb785b3d6,Kaelumite Commonwealth,RESEARCH,Research priorities chosen due to curiosity (71.2) and tech potential (12.4).,Technological level increased by 0.121 to 7.494.
5,500,7bf42c3a49,Sagittariite Directorate,RESEARCH,Research priorities chosen due to curiosity (76.9) and tech potential (13.9).,Technological level increased by 0.127 to 8.263.
5,500,c3b1779520,Aurelis Commonwealth,TRADE,No eligible trading partners within proximity.,Fell back to local expansion: gained 150 resources.
5,500,37a4cea3d7,Consolidated Solite Worlds,BUILD_MEGASTRUCTURE,Started construction of Dyson Sphere to boost galactic Kardashev footprint.,Initiated Dyson Sphere project (progress: 10%). Spent 800 resources.
5,500,57733c8324,Scientific Merite Union,DEFEND,High threat (68.8) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,467216187a,Allied Thranex Systems,DEFEND,High threat (64.8) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,e00bc2a5e5,Thranite Directorate,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (18.3).,Technological level increased by 0.150 to 8.465.
5,500,b2c9872c2d,Unified Sagittariite Council,TRADE,Proposed trade agreement to neighbor Unified Sagittariite Council (distance: 0.0 LY).,Unified Sagittariite Council declined trade proposal from Unified Sagittariite Council.
5,500,792f609a6f,Unified Sagittariite Council,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
5,500,b9c3618013,Unified Sagittariite Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (18.0).,Technological level increased by 0.150 to 8.154.
5,500,3aa8ce54ee,Allied Sagittariian Systems,TRADE,Proposed trade agreement to neighbor Unified Sagittariite Council (distance: 0.0 LY).,Trade treaty established between Allied Sagittariian Systems and Unified Sagittariite Council.
5,500,4b4e90bd89,The Meran Federation,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (21.2).,Gained 300.0 resource units and +5.0 stability.
5,500,764f599826,Unified Solite Council,RESEARCH,Research priorities chosen due to curiosity (91.0) and tech potential (18.5).,Technological level increased by 0.141 to 10.470.
5,500,83c39baf65,Zylarite Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,927dbfac0b,Scientific Kaelumis Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0). Broke trade treaties with Scientific Zeloid Union.
5,500,8e65d7f5b1,Scientific Zeloid Union,TRADE,Proposed trade agreement to neighbor Scientific Kaelumis Union (distance: 0.0 LY).,Scientific Kaelumis Union declined trade proposal from Scientific Zeloid Union.
5,500,f0f8b2423b,Xenex Directorate,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (30.2).,Gained 300.0 resource units and +5.0 stability.
5,500,31aeef2350,Scientific Solian Union,RESEARCH,Research priorities chosen due to curiosity (69.4) and tech potential (13.6).,Technological level increased by 0.119 to 9.723.
5,500,83775e646f,Consolidated Thranite Worlds,TRADE,Proposed trade agreement to neighbor Scientific Solian Union (distance: 0.0 LY).,Scientific Solian Union declined trade proposal from Consolidated Thranite Worlds.
5,500,2ed96a351c,Unified Valite Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,c1cc584fd5,Unified Merite Council,RESEARCH,Research priorities chosen due to curiosity (86.4) and tech potential (16.6).,Technological level increased by 0.136 to 9.398.
5,500,11452e96e6,Scientific Zelex Union,DEFEND,High threat (66.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,80ce70725d,Scientific Kaelumian Union,RESEARCH,Research priorities chosen due to curiosity (78.9) and tech potential (14.8).,Technological level increased by 0.129 to 8.890.
5,500,f61290c372,Scientific Orionari Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,71efb681fc,The Aureloid Federation,RESEARCH,Research priorities chosen due to curiosity (62.0) and tech potential (11.4).,Technological level increased by 0.112 to 8.548.
5,500,13b6f1c19c,Allied Orionite Systems,BUILD_MEGASTRUCTURE,Advanced megastructure engineering for Matrioshka Brain.,Advanced Matrioshka Brain construction progress by 18.1% to 28.1%.
5,500,ee9099d9b7,Vesperan Directorate,RESEARCH,Research priorities chosen due to curiosity (79.1) and tech potential (15.9).,Technological level increased by 0.129 to 10.259.
5,500,38d523ac80,Scientific Vesperoid Union,ALLY,Diplomatic outreach for alliance sent to Scientific Zylaroid Union (distance: 0.0 LY).,Scientific Zylaroid Union immediately rejected alliance from Scientific Vesperoid Union due to low relations (2.8).
5,500,4bf29f7756,Scientific Zylaroid Union,RESEARCH,Research priorities chosen due to curiosity (96.0) and tech potential (19.4).,Technological level increased by 0.146 to 10.319.
5,500,8a78a0e229,Unified Vesperoid Council,RESEARCH,Research priorities chosen due to curiosity (97.3) and tech potential (18.9).,Technological level increased by 0.147 to 9.627.
5,500,5fec320399,Unified Orionan Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
5,500,822326926a,Unified Meroid Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,0a6e8b3547,The Nu-cygnis Federation,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
5,500,8bc980ecf5,Unified Meris Council,ATTACK,"Military attack intended, but no targets were viable.",Fell back to defense consolidation: gained +10.0 stability.
5,500,18daa88e4f,Scientific Rho-perseis Union,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
5,500,b6d872712f,Scientific Persean Union,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
5,500,7c40c9ebf8,Scientific Vesperian Union,RESEARCH,Research priorities chosen due to curiosity (79.8) and tech potential (16.0).,Technological level increased by 0.130 to 10.161.
5,500,28f3b831a2,Scientific Aureloid Union,RESEARCH,Research priorities chosen due to curiosity (99.4) and tech potential (20.0).,Technological level increased by 0.149 to 10.472.
5,500,20af608f42,Consolidated Orionite Worlds,ALLY,No alliance targets found within proximity.,Fell back to defense posturing: boosted stability by +10.0.
5,500,f03d90fb8f,Thranite Directorate,TRADE,Proposed trade agreement to neighbor Scientific Xenite Union (distance: 0.0 LY).,Scientific Xenite Union declined trade proposal from Thranite Directorate.
5,500,3c04f1e4d3,Scientific Xenite Union,RESEARCH,Research priorities chosen due to curiosity (90.3) and tech potential (16.5).,Technological level increased by 0.140 to 8.377.
5,500,123f4d1fb7,Aurelian Directorate,ALLY,Diplomatic outreach for alliance sent to Thranite Directorate (distance: 0.0 LY).,Thranite Directorate immediately rejected alliance from Aurelian Directorate due to low relations (4.1).
5,500,15474381ae,Scientific Kaelumari Union,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
5,500,e905d91038,Allied Zelari Systems,TRADE,Proposed trade agreement to neighbor Thranari Commonwealth (distance: 0.0 LY).,Thranari Commonwealth declined trade proposal from Allied Zelari Systems.
5,500,f7ed0ea8ba,Thranari Commonwealth,RESEARCH,Research priorities chosen due to curiosity (71.6) and tech potential (14.4).,Technological level increased by 0.122 to 10.306.
5,500,176da50470,Unified Mu-perseis Council,RESEARCH,Research priorities chosen due to curiosity (93.5) and tech potential (18.7).,Technological level increased by 0.143 to 10.177.
5,500,f83f785370,Consolidated Valian Worlds,RESEARCH,Research priorities chosen due to curiosity (82.0) and tech potential (15.0).,Technological level increased by 0.132 to 8.432.
5,500,85aec51e58,Consolidated Thranoid Worlds,DEFEND,High threat (25.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,4c224c8349,Vesperari Directorate,ATTACK,"Military attack intended, but no targets were viable.",Fell back to defense consolidation: gained +10.0 stability.
5,500,37270686ec,Scientific Bulgite Union,DEFEND,High threat (47.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
5,500,b9be6a525a,The Bulgite Federation,ALLY,Diplomatic outreach for alliance sent to Scientific Bulgite Union (distance: 0.0 LY).,Scientific Bulgite Union immediately rejected alliance from The Bulgite Federation due to low relations (15.5).
6,600,f8c1278b86,Consolidated Zelis Worlds,RESEARCH,Research priorities chosen due to curiosity (74.6) and tech potential (14.4).,Technological level increased by 0.125 to 9.385.
6,600,4836a15586,Scientific Valan Union,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
6,600,ee951bbfab,Kaelumian Directorate,RESEARCH,Research priorities chosen due to curiosity (74.7) and tech potential (14.1).,Technological level increased by 0.125 to 9.006.
6,600,b2e833d309,Allied Orionoid Systems,RESEARCH,Research priorities chosen due to curiosity (68.2) and tech potential (13.3).,Technological level increased by 0.118 to 9.687.
6,600,faf8d4b64a,Solex Directorate,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
6,600,a500abb373,The Zelari Federation,RESEARCH,Research priorities chosen due to curiosity (74.6) and tech potential (14.0).,Technological level increased by 0.125 to 8.840.
6,600,9594053f90,Scientific Galacticite Union,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
6,600,22b55b78e2,Unified Omicron-galacticis Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
6,600,185a68bac9,Scientific Solari Union,RESEARCH,Research priorities chosen due to curiosity (89.3) and tech potential (17.2).,Technological level increased by 0.139 to 9.382.
6,600,c4f121b6c1,Orionian Directorate,BUILD_MEGASTRUCTURE,Advanced megastructure engineering for Orbital Ring.,Advanced Orbital Ring construction progress by 17.3% to 61.9%.
6,600,70a115d461,Consolidated Aurelite Worlds,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (37.5).,Gained 300.0 resource units and +5.0 stability.
6,600,26b5626b6c,Scientific Thranan Union,DEFEND,High threat (67.0) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
6,600,8a41c4ac34,Valis Directorate,RESEARCH,Research priorities chosen due to curiosity (94.4) and tech potential (18.3).,Technological level increased by 0.144 to 9.490.
6,600,15286fa1f5,Consolidated Zelari Worlds,COLONIZE,Colonization wave initiated targeting nearby unoccupied system at distance 0.0 LY.,Successfully established colony on planet Webb-6726b-h. Spent 400 resources.
6,600,ec5efdeb2d,The Bulgite Federation,DEFEND,High threat (24.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
6,600,2f0954acad,Scientific Aethelgardian Union,RESEARCH,Research priorities chosen due to curiosity (91.9) and tech potential (17.9).,Technological level increased by 0.142 to 9.605.
6,600,c7c9fca9a1,Unified Aethelgardis Council,TRADE,Proposed trade agreement to neighbor Scientific Aethelgardian Union (distance: 0.0 LY).,Trade treaty established between Unified Aethelgardis Council and Scientific Aethelgardian Union.
6,600,511ff78315,Allied Zeta-cygnis Systems,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
6,600,95cba99a70,Consolidated Aureloid Worlds,RESEARCH,Research priorities chosen due to curiosity (59.1) and tech potential (11.4).,Technological level increased by 0.109 to 9.486.
6,600,73cb158d41,Unified Vesperari Council,RESEARCH,Research priorities chosen due to curiosity (91.6) and tech potential (18.7).,Technological level increased by 0.142 to 10.575.
6,600,7419a59432,Unified Merari Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (20.0).,Technological level increased by 0.150 to 10.611.
6,600,bb1351012f,Zylarian Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
6,600,3be9d94e07,Unified Kaelumoid Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (44.4).,Gained 300.0 resource units and +5.0 stability.
6,600,033668785c,The Solis Federation,ALLY,Diplomatic outreach for alliance sent to Consolidated Xenoid Worlds (distance: 0.0 LY).,Consolidated Xenoid Worlds immediately rejected alliance from The Solis Federation due to low relations (-62.5).
6,600,f8a4edc83b,Consolidated Xenoid Worlds,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (30.6).,Gained 300.0 resource units and +5.0 stability.
6,600,d2748466c9,Scientific Xenis Union,RESEARCH,Research priorities chosen due to curiosity (81.2) and tech potential (16.3).,Technological level increased by 0.131 to 10.155.
6,600,4a7ef72f37,The Bulgite Federation,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
6,600,23979e6a05,Unified Persean Council,RESEARCH,Research priorities chosen due to curiosity (73.3) and tech potential (13.9).,Technological level increased by 0.123 to 9.120.
6,600,b6e89e8b4d,Allied Chi-perseis Systems,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
6,600,243eff68e3,Sigma-bulgis Directorate,RESEARCH,Research priorities chosen due to curiosity (87.7) and tech potential (18.1).,Technological level increased by 0.138 to 10.830.
6,600,9aa2eff7c3,Persean Directorate,BUILD_MEGASTRUCTURE,Advanced megastructure engineering for Stellar Engine.,Advanced Stellar Engine construction progress by 20.0% to 49.9%.
6,600,5db2756626,Unified Zelian Council,ALLY,Diplomatic outreach for alliance sent to Unified Xenoid Council (distance: 0.0 LY).,Unified Xenoid Council immediately rejected alliance from Unified Zelian Council due to low relations (18.4).
6,600,37df7ce9be,Unified Xenoid Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
6,600,63fff6610a,Meris Directorate,ALLY,Diplomatic outreach for alliance sent to Unified Zelian Council (distance: 0.0 LY).,Unified Zelian Council immediately rejected alliance from Meris Directorate due to low relations (12.6).
