event_id,year,timestamp,event_type,event_category,empire,participants,location,impact_score,historical_significance,description
ECN-EVT-01550,400,Year 400,Hyperinflation,Economy,cd3cb2af45,,cd3cb2af45,5.0,Minor,Hyperinflation crisis declared in cd3cb2af45 as local currency values plummeted by 127.2%.
ECN-EVT-01551,400,Year 400,Hyperinflation,Economy,5d262aaec3,,5d262aaec3,5.0,Minor,Hyperinflation crisis declared in 5d262aaec3 as local currency values plummeted by 124.1%.
ECN-EVT-01552,400,Year 400,Hyperinflation,Economy,db6da7e17a,,db6da7e17a,5.0,Minor,Hyperinflation crisis declared in db6da7e17a as local currency values plummeted by 121.2%.
ECN-EVT-01553,400,Year 400,Hyperinflation,Economy,73573955bb,,73573955bb,5.0,Minor,Hyperinflation crisis declared in 73573955bb as local currency values plummeted by 121.2%.
ECN-EVT-01554,400,Year 400,Hyperinflation,Economy,f929aa33ac,,f929aa33ac,5.0,Minor,Hyperinflation crisis declared in f929aa33ac as local currency values plummeted by 121.2%.
ECN-EVT-01555,400,Year 400,Hyperinflation,Economy,28d83c4b42,,28d83c4b42,5.0,Minor,Hyperinflation crisis declared in 28d83c4b42 as local currency values plummeted by 121.2%.
ECN-EVT-01556,400,Year 400,Hyperinflation,Economy,0ddd78edbb,,0ddd78edbb,5.0,Minor,Hyperinflation crisis declared in 0ddd78edbb as local currency values plummeted by 121.2%.
ECN-EVT-01557,400,Year 400,Economic Collapse,Economy,adc1c77061,,adc1c77061,100.0,Legendary,An Economic Collapse occurred in adc1c77061 due to negative GDP growth and treasury depletion.
ECN-EVT-01558,400,Year 400,Hyperinflation,Economy,931aa9655e,,931aa9655e,5.0,Minor,Hyperinflation crisis declared in 931aa9655e as local currency values plummeted by 121.2%.
ECN-EVT-01559,400,Year 400,Hyperinflation,Economy,df2f64c1a1,,df2f64c1a1,5.0,Minor,Hyperinflation crisis declared in df2f64c1a1 as local currency values plummeted by 121.2%.
ECN-EVT-01560,400,Year 400,Hyperinflation,Economy,f27ca4fefa,,f27ca4fefa,5.0,Minor,Hyperinflation crisis declared in f27ca4fefa as local currency values plummeted by 121.2%.
ECN-EVT-01561,400,Year 400,Hyperinflation,Economy,4164b650a3,,4164b650a3,5.0,Minor,Hyperinflation crisis declared in 4164b650a3 as local currency values plummeted by 121.2%.
ECN-EVT-01562,400,Year 400,Hyperinflation,Economy,7ba9deb67e,,7ba9deb67e,5.0,Minor,Hyperinflation crisis declared in 7ba9deb67e as local currency values plummeted by 83.8%.
ECN-EVT-01563,400,Year 400,Hyperinflation,Economy,785ce4730c,,785ce4730c,5.0,Minor,Hyperinflation crisis declared in 785ce4730c as local currency values plummeted by 120.9%.
ECN-EVT-01564,400,Year 400,Hyperinflation,Economy,7135e43d15,,7135e43d15,5.0,Minor,Hyperinflation crisis declared in 7135e43d15 as local currency values plummeted by 121.2%.
ECN-EVT-01565,400,Year 400,Economic Collapse,Economy,8f64eb0a84,,8f64eb0a84,100.0,Legendary,An Economic Collapse occurred in 8f64eb0a84 due to negative GDP growth and treasury depletion.
ECN-EVT-01566,400,Year 400,Hyperinflation,Economy,c87f4b2d09,,c87f4b2d09,5.0,Minor,Hyperinflation crisis declared in c87f4b2d09 as local currency values plummeted by 121.2%.
ECN-EVT-01567,400,Year 400,Hyperinflation,Economy,c59e7444f5,,c59e7444f5,5.0,Minor,Hyperinflation crisis declared in c59e7444f5 as local currency values plummeted by 121.2%.
ECN-EVT-01568,400,Year 400,Hyperinflation,Economy,111ab1a74e,,111ab1a74e,5.0,Minor,Hyperinflation crisis declared in 111ab1a74e as local currency values plummeted by 81.1%.
ECN-EVT-01569,400,Year 400,Hyperinflation,Economy,762d1b3438,,762d1b3438,5.0,Minor,Hyperinflation crisis declared in 762d1b3438 as local currency values plummeted by 121.2%.
ECN-EVT-01570,400,Year 400,Hyperinflation,Economy,41e5776038,,41e5776038,5.0,Minor,Hyperinflation crisis declared in 41e5776038 as local currency values plummeted by 121.5%.
ECN-EVT-01571,400,Year 400,Hyperinflation,Economy,11c4291fc3,,11c4291fc3,5.0,Minor,Hyperinflation crisis declared in 11c4291fc3 as local currency values plummeted by 125.9%.
ECN-EVT-01572,400,Year 400,Hyperinflation,Economy,c8c30fa0a1,,c8c30fa0a1,5.0,Minor,Hyperinflation crisis declared in c8c30fa0a1 as local currency values plummeted by 121.2%.
ECN-EVT-01573,400,Year 400,Hyperinflation,Economy,41a9345e47,,41a9345e47,5.0,Minor,Hyperinflation crisis declared in 41a9345e47 as local currency values plummeted by 83.1%.
ECN-EVT-01574,400,Year 400,Hyperinflation,Economy,6edc6616b2,,6edc6616b2,5.0,Minor,Hyperinflation crisis declared in 6edc6616b2 as local currency values plummeted by 121.2%.
ECN-EVT-01575,400,Year 400,Hyperinflation,Economy,82b29167c3,,82b29167c3,5.0,Minor,Hyperinflation crisis declared in 82b29167c3 as local currency values plummeted by 121.0%.
ECN-EVT-01576,400,Year 400,Hyperinflation,Economy,5087e1422a,,5087e1422a,5.0,Minor,Hyperinflation crisis declared in 5087e1422a as local currency values plummeted by 80.8%.
ECN-EVT-01577,400,Year 400,Hyperinflation,Economy,cc71651dca,,cc71651dca,5.0,Minor,Hyperinflation crisis declared in cc71651dca as local currency values plummeted by 121.2%.
ECN-EVT-01578,400,Year 400,Hyperinflation,Economy,1a2a63b5eb,,1a2a63b5eb,5.0,Minor,Hyperinflation crisis declared in 1a2a63b5eb as local currency values plummeted by 80.9%.
ECN-EVT-01579,400,Year 400,Hyperinflation,Economy,9eeb4737e9,,9eeb4737e9,5.0,Minor,Hyperinflation crisis declared in 9eeb4737e9 as local currency values plummeted by 121.2%.
ECN-EVT-01580,400,Year 400,Hyperinflation,Economy,35e0e185b7,,35e0e185b7,5.0,Minor,Hyperinflation crisis declared in 35e0e185b7 as local currency values plummeted by 121.2%.
ECN-EVT-01581,400,Year 400,Hyperinflation,Economy,15c488fdb9,,15c488fdb9,5.0,Minor,Hyperinflation crisis declared in 15c488fdb9 as local currency values plummeted by 121.2%.
ECN-EVT-01582,400,Year 400,Hyperinflation,Economy,52be76d999,,52be76d999,5.0,Minor,Hyperinflation crisis declared in 52be76d999 as local currency values plummeted by 121.1%.
ECN-EVT-01583,400,Year 400,Hyperinflation,Economy,2d148d0e47,,2d148d0e47,5.0,Minor,Hyperinflation crisis declared in 2d148d0e47 as local currency values plummeted by 121.2%.
ECN-EVT-01584,400,Year 400,Hyperinflation,Economy,a4eac32597,,a4eac32597,5.0,Minor,Hyperinflation crisis declared in a4eac32597 as local currency values plummeted by 121.2%.
ECN-EVT-01585,400,Year 400,Hyperinflation,Economy,f94aaeed85,,f94aaeed85,5.0,Minor,Hyperinflation crisis declared in f94aaeed85 as local currency values plummeted by 121.1%.
ECN-EVT-01586,400,Year 400,Hyperinflation,Economy,a9283be55d,,a9283be55d,5.0,Minor,Hyperinflation crisis declared in a9283be55d as local currency values plummeted by 121.1%.
ECN-EVT-01587,400,Year 400,Hyperinflation,Economy,27d9c8dc46,,27d9c8dc46,5.0,Minor,Hyperinflation crisis declared in 27d9c8dc46 as local currency values plummeted by 121.1%.
ECN-EVT-01588,400,Year 400,Hyperinflation,Economy,2c89a9e0dc,,2c89a9e0dc,5.0,Minor,Hyperinflation crisis declared in 2c89a9e0dc as local currency values plummeted by 121.2%.
ECN-EVT-01589,400,Year 400,Hyperinflation,Economy,c45231c414,,c45231c414,5.0,Minor,Hyperinflation crisis declared in c45231c414 as local currency values plummeted by 121.2%.
ECN-EVT-01590,400,Year 400,Hyperinflation,Economy,b323933feb,,b323933feb,5.0,Minor,Hyperinflation crisis declared in b323933feb as local currency values plummeted by 80.5%.
ECN-EVT-01591,400,Year 400,Hyperinflation,Economy,8d88177d24,,8d88177d24,5.0,Minor,Hyperinflation crisis declared in 8d88177d24 as local currency values plummeted by 81.0%.
ECN-EVT-01592,400,Year 400,Hyperinflation,Economy,e1c4b2ed14,,e1c4b2ed14,5.0,Minor,Hyperinflation crisis declared in e1c4b2ed14 as local currency values plummeted by 121.2%.
ECN-EVT-01593,400,Year 400,Hyperinflation,Economy,a568c633c8,,a568c633c8,5.0,Minor,Hyperinflation crisis declared in a568c633c8 as local currency values plummeted by 81.0%.
ECN-EVT-01594,400,Year 400,Hyperinflation,Economy,0187c7d64a,,0187c7d64a,5.0,Minor,Hyperinflation crisis declared in 0187c7d64a as local currency values plummeted by 121.2%.
ECN-EVT-01595,400,Year 400,Hyperinflation,Economy,189d8d8d1b,,189d8d8d1b,5.0,Minor,Hyperinflation crisis declared in 189d8d8d1b as local currency values plummeted by 121.2%.
ECN-EVT-01596,400,Year 400,Hyperinflation,Economy,57f00e3f50,,57f00e3f50,5.0,Minor,Hyperinflation crisis declared in 57f00e3f50 as local currency values plummeted by 121.0%.
ECN-EVT-01597,400,Year 400,Hyperinflation,Economy,d427d38a9f,,d427d38a9f,5.0,Minor,Hyperinflation crisis declared in d427d38a9f as local currency values plummeted by 121.2%.
ECN-EVT-01598,400,Year 400,Hyperinflation,Economy,f1337406a3,,f1337406a3,5.0,Minor,Hyperinflation crisis declared in f1337406a3 as local currency values plummeted by 122.1%.
ECN-EVT-01599,400,Year 400,Hyperinflation,Economy,354b63d6d6,,354b63d6d6,5.0,Minor,Hyperinflation crisis declared in 354b63d6d6 as local currency values plummeted by 121.2%.
ECN-EVT-01600,400,Year 400,Hyperinflation,Economy,fce0550f04,,fce0550f04,5.0,Minor,Hyperinflation crisis declared in fce0550f04 as local currency values plummeted by 121.2%.
ECN-EVT-01601,400,Year 400,Hyperinflation,Economy,f7a8fcf1b2,,f7a8fcf1b2,5.0,Minor,Hyperinflation crisis declared in f7a8fcf1b2 as local currency values plummeted by 121.2%.
ECN-EVT-01602,400,Year 400,Hyperinflation,Economy,8c80ad65b6,,8c80ad65b6,5.0,Minor,Hyperinflation crisis declared in 8c80ad65b6 as local currency values plummeted by 121.2%.
ECN-EVT-01603,400,Year 400,Hyperinflation,Economy,65154f1c30,,65154f1c30,5.0,Minor,Hyperinflation crisis declared in 65154f1c30 as local currency values plummeted by 81.1%.
ECN-EVT-01604,400,Year 400,Hyperinflation,Economy,e6f9f9e411,,e6f9f9e411,5.0,Minor,Hyperinflation crisis declared in e6f9f9e411 as local currency values plummeted by 121.2%.
ECN-EVT-01605,400,Year 400,Hyperinflation,Economy,24e153416d,,24e153416d,5.0,Minor,Hyperinflation crisis declared in 24e153416d as local currency values plummeted by 121.2%.
ECN-EVT-01606,400,Year 400,Hyperinflation,Economy,38ade68c1e,,38ade68c1e,5.0,Minor,Hyperinflation crisis declared in 38ade68c1e as local currency values plummeted by 121.2%.
ECN-EVT-01607,400,Year 400,Hyperinflation,Economy,eacab5ee97,,eacab5ee97,5.0,Minor,Hyperinflation crisis declared in eacab5ee97 as local currency values plummeted by 121.1%.
ECN-EVT-01608,400,Year 400,Hyperinflation,Economy,fadaa4a404,,fadaa4a404,5.0,Minor,Hyperinflation crisis declared in fadaa4a404 as local currency values plummeted by 121.2%.
ECN-EVT-01609,400,Year 400,Hyperinflation,Economy,ebda9e7b67,,ebda9e7b67,5.0,Minor,Hyperinflation crisis declared in ebda9e7b67 as local currency values plummeted by 121.2%.
ECN-EVT-01610,400,Year 400,Hyperinflation,Economy,de8a7cab3b,,de8a7cab3b,5.0,Minor,Hyperinflation crisis declared in de8a7cab3b as local currency values plummeted by 121.6%.
ECN-EVT-01611,400,Year 400,Hyperinflation,Economy,5573af18db,,5573af18db,5.0,Minor,Hyperinflation crisis declared in 5573af18db as local currency values plummeted by 121.2%.
ECN-EVT-01612,400,Year 400,Hyperinflation,Economy,e13216033f,,e13216033f,5.0,Minor,Hyperinflation crisis declared in e13216033f as local currency values plummeted by 121.2%.
ECN-EVT-01613,400,Year 400,Hyperinflation,Economy,bee1d78260,,bee1d78260,5.0,Minor,Hyperinflation crisis declared in bee1d78260 as local currency values plummeted by 121.1%.
ECN-EVT-01614,400,Year 400,Hyperinflation,Economy,2a8b6fc81d,,2a8b6fc81d,5.0,Minor,Hyperinflation crisis declared in 2a8b6fc81d as local currency values plummeted by 121.1%.
ECN-EVT-01615,400,Year 400,Hyperinflation,Economy,2320636026,,2320636026,5.0,Minor,Hyperinflation crisis declared in 2320636026 as local currency values plummeted by 121.1%.
ECN-EVT-01616,400,Year 400,Hyperinflation,Economy,e976b29c9d,,e976b29c9d,5.0,Minor,Hyperinflation crisis declared in e976b29c9d as local currency values plummeted by 121.2%.
ECN-EVT-01617,400,Year 400,Hyperinflation,Economy,dc0074adc3,,dc0074adc3,5.0,Minor,Hyperinflation crisis declared in dc0074adc3 as local currency values plummeted by 121.2%.
ECN-EVT-01618,400,Year 400,Hyperinflation,Economy,303a3df484,,303a3df484,5.0,Minor,Hyperinflation crisis declared in 303a3df484 as local currency values plummeted by 81.2%.
ECN-EVT-01619,400,Year 400,Hyperinflation,Economy,02b9381952,,02b9381952,5.0,Minor,Hyperinflation crisis declared in 02b9381952 as local currency values plummeted by 82.1%.
ECN-EVT-01620,400,Year 400,Hyperinflation,Economy,0ad458611c,,0ad458611c,5.0,Minor,Hyperinflation crisis declared in 0ad458611c as local currency values plummeted by 125.2%.
ECN-EVT-01621,400,Year 400,Hyperinflation,Economy,c2fe0ab024,,c2fe0ab024,5.0,Minor,Hyperinflation crisis declared in c2fe0ab024 as local currency values plummeted by 121.1%.
ECN-EVT-01622,400,Year 400,Hyperinflation,Economy,91474e8269,,91474e8269,5.0,Minor,Hyperinflation crisis declared in 91474e8269 as local currency values plummeted by 121.2%.
ECN-EVT-01623,400,Year 400,Hyperinflation,Economy,f343101fe6,,f343101fe6,5.0,Minor,Hyperinflation crisis declared in f343101fe6 as local currency values plummeted by 121.0%.
ECN-EVT-01624,400,Year 400,Hyperinflation,Economy,1cf19da3a9,,1cf19da3a9,5.0,Minor,Hyperinflation crisis declared in 1cf19da3a9 as local currency values plummeted by 121.2%.
ECN-EVT-01625,400,Year 400,Hyperinflation,Economy,fc241018ec,,fc241018ec,5.0,Minor,Hyperinflation crisis declared in fc241018ec as local currency values plummeted by 121.2%.
ECN-EVT-01626,400,Year 400,Hyperinflation,Economy,2c6958242d,,2c6958242d,5.0,Minor,Hyperinflation crisis declared in 2c6958242d as local currency values plummeted by 121.1%.
ECN-EVT-01627,400,Year 400,Hyperinflation,Economy,950050e41a,,950050e41a,5.0,Minor,Hyperinflation crisis declared in 950050e41a as local currency values plummeted by 121.2%.
ECN-EVT-01628,400,Year 400,Hyperinflation,Economy,bbf8578e8c,,bbf8578e8c,5.0,Minor,Hyperinflation crisis declared in bbf8578e8c as local currency values plummeted by 121.2%.
ECN-EVT-01629,400,Year 400,Hyperinflation,Economy,8478dfd6f7,,8478dfd6f7,5.0,Minor,Hyperinflation crisis declared in 8478dfd6f7 as local currency values plummeted by 121.2%.
ECN-EVT-01630,400,Year 400,Hyperinflation,Economy,6f1e390274,,6f1e390274,5.0,Minor,Hyperinflation crisis declared in 6f1e390274 as local currency values plummeted by 121.2%.
ECN-EVT-01631,400,Year 400,Hyperinflation,Economy,b12b67a0db,,b12b67a0db,5.0,Minor,Hyperinflation crisis declared in b12b67a0db as local currency values plummeted by 121.0%.
ECN-EVT-01632,400,Year 400,Hyperinflation,Economy,5d6505f12a,,5d6505f12a,5.0,Minor,Hyperinflation crisis declared in 5d6505f12a as local currency values plummeted by 81.0%.
ECN-EVT-01633,400,Year 400,Hyperinflation,Economy,2c64149009,,2c64149009,5.0,Minor,Hyperinflation crisis declared in 2c64149009 as local currency values plummeted by 121.2%.
ECN-EVT-01634,400,Year 400,Hyperinflation,Economy,ed45fe3a8d,,ed45fe3a8d,5.0,Minor,Hyperinflation crisis declared in ed45fe3a8d as local currency values plummeted by 121.2%.
ECN-EVT-01635,400,Year 400,Hyperinflation,Economy,b1f20b8a8c,,b1f20b8a8c,5.0,Minor,Hyperinflation crisis declared in b1f20b8a8c as local currency values plummeted by 121.5%.
ECN-EVT-01636,400,Year 400,Hyperinflation,Economy,43cb04ad80,,43cb04ad80,5.0,Minor,Hyperinflation crisis declared in 43cb04ad80 as local currency values plummeted by 121.1%.
ECN-EVT-01637,400,Year 400,Hyperinflation,Economy,3a375c2f6d,,3a375c2f6d,5.0,Minor,Hyperinflation crisis declared in 3a375c2f6d as local currency values plummeted by 121.2%.
ECN-EVT-01638,400,Year 400,Hyperinflation,Economy,0fa7096d5a,,0fa7096d5a,5.0,Minor,Hyperinflation crisis declared in 0fa7096d5a as local currency values plummeted by 81.8%.
ECN-EVT-01639,400,Year 400,Hyperinflation,Economy,3c196b299c,,3c196b299c,5.0,Minor,Hyperinflation crisis declared in 3c196b299c as local currency values plummeted by 121.2%.
ECN-EVT-01640,400,Year 400,Hyperinflation,Economy,1a67be5b7f,,1a67be5b7f,5.0,Minor,Hyperinflation crisis declared in 1a67be5b7f as local currency values plummeted by 121.2%.
ECN-EVT-01641,400,Year 400,Hyperinflation,Economy,862f6cbc45,,862f6cbc45,5.0,Minor,Hyperinflation crisis declared in 862f6cbc45 as local currency values plummeted by 81.7%.
ECN-EVT-01642,400,Year 400,Hyperinflation,Economy,9883f23173,,9883f23173,5.0,Minor,Hyperinflation crisis declared in 9883f23173 as local currency values plummeted by 121.2%.
ECN-EVT-01643,400,Year 400,Hyperinflation,Economy,22c13af7a1,,22c13af7a1,5.0,Minor,Hyperinflation crisis declared in 22c13af7a1 as local currency values plummeted by 121.2%.
ECN-EVT-01644,400,Year 400,Hyperinflation,Economy,ac70f57b73,,ac70f57b73,5.0,Minor,Hyperinflation crisis declared in ac70f57b73 as local currency values plummeted by 121.2%.
ECN-EVT-01645,400,Year 400,Hyperinflation,Economy,60a971a839,,60a971a839,5.0,Minor,Hyperinflation crisis declared in 60a971a839 as local currency values plummeted by 121.2%.
ECN-EVT-01646,400,Year 400,Hyperinflation,Economy,e941b86692,,e941b86692,5.0,Minor,Hyperinflation crisis declared in e941b86692 as local currency values plummeted by 121.2%.
ECN-EVT-01647,400,Year 400,Hyperinflation,Economy,8dcb447d0f,,8dcb447d0f,5.0,Minor,Hyperinflation crisis declared in 8dcb447d0f as local currency values plummeted by 121.2%.
ECN-EVT-01648,400,Year 400,Hyperinflation,Economy,0130446f7e,,0130446f7e,5.0,Minor,Hyperinflation crisis declared in 0130446f7e as local currency values plummeted by 121.2%.
ECN-EVT-01649,400,Year 400,Hyperinflation,Economy,d1ebd8161b,,d1ebd8161b,5.0,Minor,Hyperinflation crisis declared in d1ebd8161b as local currency values plummeted by 86.3%.
ECN-EVT-01650,400,Year 400,Hyperinflation,Economy,d056d7ce4a,,d056d7ce4a,5.0,Minor,Hyperinflation crisis declared in d056d7ce4a as local currency values plummeted by 121.2%.
ECN-EVT-01651,400,Year 400,Hyperinflation,Economy,74136dc7b0,,74136dc7b0,5.0,Minor,Hyperinflation crisis declared in 74136dc7b0 as local currency values plummeted by 121.1%.
ECN-EVT-01652,400,Year 400,Hyperinflation,Economy,61dc46303f,,61dc46303f,5.0,Minor,Hyperinflation crisis declared in 61dc46303f as local currency values plummeted by 121.1%.
ECN-EVT-01653,400,Year 400,Hyperinflation,Economy,8fbf42f886,,8fbf42f886,5.0,Minor,Hyperinflation crisis declared in 8fbf42f886 as local currency values plummeted by 121.2%.
ECN-EVT-01654,400,Year 400,Hyperinflation,Economy,7388512271,,7388512271,5.0,Minor,Hyperinflation crisis declared in 7388512271 as local currency values plummeted by 121.2%.
ECN-EVT-01655,400,Year 400,Hyperinflation,Economy,b6ae409cbf,,b6ae409cbf,5.0,Minor,Hyperinflation crisis declared in b6ae409cbf as local currency values plummeted by 121.2%.
ECN-EVT-01656,400,Year 400,Hyperinflation,Economy,622de7102b,,622de7102b,5.0,Minor,Hyperinflation crisis declared in 622de7102b as local currency values plummeted by 81.0%.
ECN-EVT-01657,400,Year 400,Hyperinflation,Economy,996190e522,,996190e522,5.0,Minor,Hyperinflation crisis declared in 996190e522 as local currency values plummeted by 121.9%.
ECN-EVT-01658,400,Year 400,Hyperinflation,Economy,f7bd18e491,,f7bd18e491,5.0,Minor,Hyperinflation crisis declared in f7bd18e491 as local currency values plummeted by 120.7%.
ECN-EVT-01659,400,Year 400,Hyperinflation,Economy,556d6c2378,,556d6c2378,5.0,Minor,Hyperinflation crisis declared in 556d6c2378 as local currency values plummeted by 88.7%.
ECN-EVT-01660,400,Year 400,Hyperinflation,Economy,ff559623e3,,ff559623e3,5.0,Minor,Hyperinflation crisis declared in ff559623e3 as local currency values plummeted by 121.1%.
ECN-EVT-01661,400,Year 400,Hyperinflation,Economy,a38e0777cd,,a38e0777cd,5.0,Minor,Hyperinflation crisis declared in a38e0777cd as local currency values plummeted by 121.2%.
ECN-EVT-01662,400,Year 400,Hyperinflation,Economy,4c2540c708,,4c2540c708,5.0,Minor,Hyperinflation crisis declared in 4c2540c708 as local currency values plummeted by 81.2%.
ECN-EVT-01663,400,Year 400,Hyperinflation,Economy,b7069c3852,,b7069c3852,5.0,Minor,Hyperinflation crisis declared in b7069c3852 as local currency values plummeted by 121.2%.
ECN-EVT-01664,400,Year 400,Hyperinflation,Economy,81714ff4c3,,81714ff4c3,5.0,Minor,Hyperinflation crisis declared in 81714ff4c3 as local currency values plummeted by 81.1%.
ECN-EVT-01665,400,Year 400,Hyperinflation,Economy,f3f5dfde4c,,f3f5dfde4c,5.0,Minor,Hyperinflation crisis declared in f3f5dfde4c as local currency values plummeted by 121.2%.
ECN-EVT-01666,400,Year 400,Hyperinflation,Economy,e12feef736,,e12feef736,5.0,Minor,Hyperinflation crisis declared in e12feef736 as local currency values plummeted by 121.2%.
ECN-EVT-01667,400,Year 400,Hyperinflation,Economy,fba15f0324,,fba15f0324,5.0,Minor,Hyperinflation crisis declared in fba15f0324 as local currency values plummeted by 121.2%.
ECN-EVT-01668,400,Year 400,Hyperinflation,Economy,350e107aae,,350e107aae,5.0,Minor,Hyperinflation crisis declared in 350e107aae as local currency values plummeted by 121.2%.
ECN-EVT-01669,400,Year 400,Hyperinflation,Economy,22091a7056,,22091a7056,5.0,Minor,Hyperinflation crisis declared in 22091a7056 as local currency values plummeted by 121.2%.
ECN-EVT-01670,400,Year 400,Hyperinflation,Economy,03d3903c7c,,03d3903c7c,5.0,Minor,Hyperinflation crisis declared in 03d3903c7c as local currency values plummeted by 121.2%.
ECN-EVT-01671,400,Year 400,Hyperinflation,Economy,2211d3100d,,2211d3100d,5.0,Minor,Hyperinflation crisis declared in 2211d3100d as local currency values plummeted by 121.1%.
ECN-EVT-01672,400,Year 400,Hyperinflation,Economy,459f704847,,459f704847,5.0,Minor,Hyperinflation crisis declared in 459f704847 as local currency values plummeted by 121.4%.
ECN-EVT-01673,400,Year 400,Hyperinflation,Economy,575810e85b,,575810e85b,5.0,Minor,Hyperinflation crisis declared in 575810e85b as local currency values plummeted by 121.2%.
ECN-EVT-01674,400,Year 400,Hyperinflation,Economy,182edcdd37,,182edcdd37,5.0,Minor,Hyperinflation crisis declared in 182edcdd37 as local currency values plummeted by 121.2%.
ECN-EVT-01675,400,Year 400,Hyperinflation,Economy,2705d84a32,,2705d84a32,5.0,Minor,Hyperinflation crisis declared in 2705d84a32 as local currency values plummeted by 83.6%.
ECN-EVT-01676,400,Year 400,Hyperinflation,Economy,92810d80b3,,92810d80b3,5.0,Minor,Hyperinflation crisis declared in 92810d80b3 as local currency values plummeted by 81.1%.
ECN-EVT-01677,400,Year 400,Hyperinflation,Economy,7e5521abbb,,7e5521abbb,5.0,Minor,Hyperinflation crisis declared in 7e5521abbb as local currency values plummeted by 121.2%.
ECN-EVT-01678,400,Year 400,Hyperinflation,Economy,0cb785b3d6,,0cb785b3d6,5.0,Minor,Hyperinflation crisis declared in 0cb785b3d6 as local currency values plummeted by 121.2%.
ECN-EVT-01679,400,Year 400,Hyperinflation,Economy,7bf42c3a49,,7bf42c3a49,5.0,Minor,Hyperinflation crisis declared in 7bf42c3a49 as local currency values plummeted by 81.0%.
ECN-EVT-01680,400,Year 400,Hyperinflation,Economy,c3b1779520,,c3b1779520,5.0,Minor,Hyperinflation crisis declared in c3b1779520 as local currency values plummeted by 120.7%.
ECN-EVT-01681,400,Year 400,Hyperinflation,Economy,37a4cea3d7,,37a4cea3d7,5.0,Minor,Hyperinflation crisis declared in 37a4cea3d7 as local currency values plummeted by 81.1%.
ECN-EVT-01682,400,Year 400,Hyperinflation,Economy,57733c8324,,57733c8324,5.0,Minor,Hyperinflation crisis declared in 57733c8324 as local currency values plummeted by 121.2%.
ECN-EVT-01683,400,Year 400,Hyperinflation,Economy,467216187a,,467216187a,5.0,Minor,Hyperinflation crisis declared in 467216187a as local currency values plummeted by 121.2%.
ECN-EVT-01684,400,Year 400,Hyperinflation,Economy,e00bc2a5e5,,e00bc2a5e5,5.0,Minor,Hyperinflation crisis declared in e00bc2a5e5 as local currency values plummeted by 121.2%.
ECN-EVT-01685,400,Year 400,Hyperinflation,Economy,b2c9872c2d,,b2c9872c2d,5.0,Minor,Hyperinflation crisis declared in b2c9872c2d as local currency values plummeted by 121.2%.
ECN-EVT-01686,400,Year 400,Hyperinflation,Economy,792f609a6f,,792f609a6f,5.0,Minor,Hyperinflation crisis declared in 792f609a6f as local currency values plummeted by 121.2%.
ECN-EVT-01687,400,Year 400,Hyperinflation,Economy,3aa8ce54ee,,3aa8ce54ee,5.0,Minor,Hyperinflation crisis declared in 3aa8ce54ee as local currency values plummeted by 82.3%.
ECN-EVT-01688,400,Year 400,Hyperinflation,Economy,764f599826,,764f599826,5.0,Minor,Hyperinflation crisis declared in 764f599826 as local currency values plummeted by 81.2%.
ECN-EVT-01689,400,Year 400,Hyperinflation,Economy,83c39baf65,,83c39baf65,5.0,Minor,Hyperinflation crisis declared in 83c39baf65 as local currency values plummeted by 121.2%.
ECN-EVT-01690,400,Year 400,Hyperinflation,Economy,927dbfac0b,,927dbfac0b,5.0,Minor,Hyperinflation crisis declared in 927dbfac0b as local currency values plummeted by 86.7%.
ECN-EVT-01691,400,Year 400,Hyperinflation,Economy,8e65d7f5b1,,8e65d7f5b1,5.0,Minor,Hyperinflation crisis declared in 8e65d7f5b1 as local currency values plummeted by 121.1%.
ECN-EVT-01692,400,Year 400,Hyperinflation,Economy,f0f8b2423b,,f0f8b2423b,5.0,Minor,Hyperinflation crisis declared in f0f8b2423b as local currency values plummeted by 121.2%.
ECN-EVT-01693,400,Year 400,Hyperinflation,Economy,31aeef2350,,31aeef2350,5.0,Minor,Hyperinflation crisis declared in 31aeef2350 as local currency values plummeted by 121.2%.
ECN-EVT-01694,400,Year 400,Hyperinflation,Economy,83775e646f,,83775e646f,5.0,Minor,Hyperinflation crisis declared in 83775e646f as local currency values plummeted by 121.1%.
ECN-EVT-01695,400,Year 400,Hyperinflation,Economy,2ed96a351c,,2ed96a351c,5.0,Minor,Hyperinflation crisis declared in 2ed96a351c as local currency values plummeted by 121.2%.
ECN-EVT-01696,400,Year 400,Hyperinflation,Economy,c1cc584fd5,,c1cc584fd5,5.0,Minor,Hyperinflation crisis declared in c1cc584fd5 as local currency values plummeted by 121.2%.
ECN-EVT-01697,400,Year 400,Hyperinflation,Economy,11452e96e6,,11452e96e6,5.0,Minor,Hyperinflation crisis declared in 11452e96e6 as local currency values plummeted by 121.1%.
ECN-EVT-01698,400,Year 400,Hyperinflation,Economy,80ce70725d,,80ce70725d,5.0,Minor,Hyperinflation crisis declared in 80ce70725d as local currency values plummeted by 121.2%.
ECN-EVT-01699,400,Year 400,Hyperinflation,Economy,f61290c372,,f61290c372,5.0,Minor,Hyperinflation crisis declared in f61290c372 as local currency values plummeted by 121.2%.
ECN-EVT-01700,400,Year 400,Hyperinflation,Economy,71efb681fc,,71efb681fc,5.0,Minor,Hyperinflation crisis declared in 71efb681fc as local currency values plummeted by 81.2%.
