era_name,start_year,end_year,dominant_empire,major_events
Age of Colonization,362000,362500,The Scientific Technocracy,"AI Uprising (Year 362079): In Year 362079, a rogue AI network in The Scientific Technoc... | Colonization (Year 362236): In Year 362236, colonial fleets from The Scientific Technocr..."
Age of Trade,362500,363000,The Consolidated Technocracy,"AI Uprising (Year 362506): In Year 362506, a mysterious cosmic pandemic swept through P... | Economic Collapse (Year 362638): In Year 362638, industrial megacorporations in The Scientifi..."
Age of Expansion,363000,364500,The Consolidated Consolidated Systems,"AI Uprising (Year 363025): In Year 363025, a rogue AI network in The Aurelis AI Hegemon... | Refugee Crisis (Year 363255): In Year 363255, a mysterious cosmic pandemic swept through A... | Resource Catastrophe (Year 363554): In Year 363554, a catastrophic solar flare in Rigel Beta des... | Pandemic Event (Year 363754): In Year 363754, a mysterious cosmic pandemic swept through C... | Wormhole Collapse (Year 364205): In Year 364205, a rogue AI network in The Unified Technocrac... | Megastructure Completion (Year 364348): In Year 364348, a breakthrough in zero-point energy generati..."
Age of Federations,364500,365000,The Scientific Technocracy,"Resource Catastrophe (Year 364846): In Year 364846, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 364773): In Year 364773, The Xenan Technocracy successfully completed..."
Age of Trade,365000,365500,The Great Scientific Imperium,"Megastructure Completion (Year 365461): In Year 365461, The Consolidated Allied Systems successfully... | Refugee Crisis (Year 365006): In Year 365006, a rogue AI network in The Consolidated Zelar..."
Age of Expansion,365500,366000,The Scientific Technocracy,"AI Uprising (Year 365652): In Year 365652, the FTL jump gate in Capella Expanse suffere... | Pandemic Event (Year 365837): In Year 365837, a catastrophic solar flare in Procyon Minor ..."
Age of Trade,366000,366500,The Consolidated Star Empire,"AI Uprising (Year 366063): In Year 366063, a mysterious cosmic pandemic swept through C... | Economic Collapse (Year 366316): In Year 366316, resource depletion in the Aldebaran Sigma se..."
Age of Expansion,366500,367500,The Scientific Technocracy,"FTL Network Failure (Year 366823): In Year 366823, a rogue AI network in The Great Valari Imper... | Wormhole Collapse (Year 366659): In Year 366659, a rogue AI network in The Scientific Technoc... | Economic Collapse (Year 367046): In Year 367046, resource depletion in the Sagittarius Minor ... | Megastructure Completion (Year 367277): In Year 367277, The Cygnian Technocracy successfully complet..."
Age of Federations,367500,368000,The Scientific Technocracy,"Wormhole Collapse (Year 367525): In Year 367525, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 367720): In Year 367720, the The Unified AI Hegemony completed the co..."
Age of Expansion,368000,368500,The Consolidated Consolidated Systems,"Resource Catastrophe (Year 368159): In Year 368159, a rogue AI network in The Great Scientific I... | Refugee Crisis (Year 368318): In Year 368318, a rogue AI network in The Cygnian Technocrac..."
Age of Trade,368500,369000,The Scientific Technocracy,"Refugee Crisis (Year 368638): In Year 368638, a mysterious cosmic pandemic swept through V... | War Declaration (Year 368882): In Year 368882, a skirmish broke out in Orion Reach between ..."
Age of Expansion,369000,369500,The Great Unified Imperium,"AI Uprising (Year 369245): In Year 369245, a catastrophic solar flare in Antares Expans... | War End (Year 369476): In Year 369476, a skirmish broke out in Antares Prime betwee..."
Age of Federations,369500,370000,The Great Consolidated Imperium,"Megastructure Completion (Year 369608): In Year 369608, The Great Consolidated Imperium successfully... | Defense Pact (Year 369864): In Year 369864, the The Scientific AI Hegemony and The Conso..."
Age of Expansion,370000,371000,The Scientific Technocracy,"Economic Collapse (Year 370498): In Year 370498, industrial megacorporations in The Great Thr... | Wormhole Collapse (Year 370412): In Year 370412, the FTL jump gate in Polaris Nebula suffered... | Wormhole Collapse (Year 370811): In Year 370811, the FTL jump gate in Vega Arm suffered a cri... | Megastructure Completion (Year 370591): In Year 370591, researchers in The Unified Technocracy achie..."
Age of Conflict,371000,371500,The Consolidated Unified Systems,"Planetary Invasion (Year 371466): In Year 371466, a devastating fleet battle occurred in the V... | War Declaration (Year 371222): In Year 371222, the The Consolidated Unified Systems launche..."
Age of Expansion,371500,373000,The Scientific AI Hegemony,"Megastructure Completion (Year 371633): In Year 371633, the The Great Unified Imperium completed the... | Planetary Invasion (Year 371864): In Year 371864, the joint fleets of The Unified Technocracy ... | AI Uprising (Year 372014): In Year 372014, a mysterious cosmic pandemic swept through C... | Galactic Federation (Year 372323): In Year 372323, the The Kaelumis AI Hegemony and The Great S... | Resource Catastrophe (Year 372845): In Year 372845, a catastrophic solar flare in Pollux Minor d... | War Declaration (Year 372590): In Year 372590, The Great Zelex Imperium successfully annexe..."
Age of Colonization,373000,373500,The Unified AI Hegemony,"Megastructure Completion (Year 373132): In Year 373132, researchers in The Great Allied Imperium ach... | Defense Pact (Year 373209): In Year 373209, the The Solite Technocracy and The Aurelian ..."
Age of Trade,373500,374500,The Unified Technocracy,"AI Uprising (Year 373737): In Year 373737, a catastrophic solar flare in Betelgeuse Bet... | Pandemic Event (Year 373824): In Year 373824, the FTL jump gate in Sagittarius Reach suffe... | Economic Collapse (Year 374458): In Year 374458, resource depletion in the Procyon Nebula sec... | Resource Catastrophe (Year 374400): In Year 374400, a mysterious cosmic pandemic swept through S..."
Age of Colonization,374500,375000,The Unified Technocracy,"FTL Network Failure (Year 374663): In Year 374663, a catastrophic solar flare in Centauri Major... | Scientific Breakthrough (Year 374597): In Year 374597, The Consolidated Allied Systems successfully..."
Age of Expansion,375000,375500,The Aurelian Technocracy,"Pandemic Event (Year 375136): In Year 375136, the FTL jump gate in Aldebaran Beta suffered... | Peace Treaty Signing (Year 375055): In Year 375055, diplomatic relations between The Aurelian Te..."
Age of Colonization,375500,376000,The Great Scientific Imperium,"War End (Year 375805): In Year 375805, the The Great Scientific Imperium launched a... | Defense Pact (Year 375890): In Year 375890, The Orionan Star Empire acted as a peace med..."
Age of Expansion,376000,376500,The Great Scientific Imperium,"Megastructure Completion (Year 376350): In Year 376350, a breakthrough in zero-point energy generati... | Megastructure Completion (Year 376400): In Year 376400, The Consolidated Perseian Systems successful..."
Age of Federations,376500,377000,The Scientific Technocracy,"Pandemic Event (Year 376945): In Year 376945, the FTL jump gate in Castor Prime suffered a... | Galactic Federation (Year 376859): In Year 376859, the The Great Allied Imperium and The Scient..."
Age of Conflict,377000,377500,The Scientific Technocracy,"Galactic Federation (Year 377423): In Year 377423, the The Orionite Technocracy and The Great C... | Planetary Invasion (Year 377002): In Year 377002, the joint fleets of The Scientific Technocra..."
Age of Expansion,377500,378000,The Great Scientific Imperium,"Economic Collapse (Year 377616): In Year 377616, industrial megacorporations in The Great Sci... | Wormhole Collapse (Year 377924): In Year 377924, a catastrophic solar flare in Capella Reach ..."
Age of Trade,378000,379500,The Great Sigma-bulgis Imperium,"Megastructure Completion (Year 378107): In Year 378107, researchers in The Consolidated Star Empire ... | Defense Pact (Year 378350): In Year 378350, the The Great Consolidated Imperium and The ... | Economic Collapse (Year 378996): In Year 378996, a gold rush of rare FTL fuel elements trigge... | Wormhole Collapse (Year 378776): In Year 378776, a catastrophic solar flare in Centauri Major... | Economic Collapse (Year 379428): In Year 379428, The Consolidated Scientific Systems experien... | Pandemic Event (Year 379140): In Year 379140, a catastrophic solar flare in Polaris Sigma ..."
Age of Collapse,379500,380000,The Great Unified Imperium,"Economic Collapse (Year 379739): In Year 379739, The Meran AI Hegemony experienced a massive ... | Resource Catastrophe (Year 379959): In Year 379959, a catastrophic solar flare in Procyon Nebula..."
Age of Expansion,380000,381500,The Great Scientific Imperium,"AI Uprising (Year 380027): In Year 380027, a mysterious cosmic pandemic swept through S... | Refugee Crisis (Year 380431): In Year 380431, the FTL jump gate in Vega Arm suffered a cri... | Megastructure Completion (Year 380773): In Year 380773, researchers in The Consolidated Allied Syste... | Galactic Federation (Year 380946): In Year 380946, The Aurelian Technocracy acted as a peace me... | Resource Catastrophe (Year 381089): In Year 381089, a catastrophic solar flare in Rigel Minor de... | Pandemic Event (Year 381165): In Year 381165, a rogue AI network in The Unified Star Empir..."
Age of Federations,381500,382000,The Consolidated Unified Systems,"Economic Collapse (Year 381976): In Year 381976, resource depletion in the Castor Reach secto... | Wormhole Collapse (Year 381810): In Year 381810, a mysterious cosmic pandemic swept through S..."
Age of Expansion,382000,382500,The Scientific Technocracy,"FTL Network Failure (Year 382280): In Year 382280, the FTL jump gate in Antares Nebula suffered... | Economic Collapse (Year 382152): In Year 382152, industrial megacorporations in The Consolida..."
Age of Trade,382500,383000,The Great Scientific Imperium,"Economic Collapse (Year 382970): In Year 382970, industrial megacorporations in The Orionite ... | Megastructure Completion (Year 382525): In Year 382525, a breakthrough in zero-point energy generati..."
Age of Conflict,383000,383500,The Great Scientific Imperium,"Pandemic Event (Year 383100): In Year 383100, a rogue AI network in The Solari Technocracy... | Megastructure Completion (Year 383257): In Year 383257, researchers in The Great Scientific Imperium..."
Age of Expansion,383500,384000,The Great Unified Imperium,"Megastructure Completion (Year 383616): In Year 383616, The Great Unified Imperium successfully comp... | Megastructure Completion (Year 383855): In Year 383855, the The Unified Technocracy completed the co..."
Age of Collapse,384000,384500,The Great Scientific Imperium,"Resource Catastrophe (Year 384276): In Year 384276, a rogue AI network in The Great Consolidated... | Resource Catastrophe (Year 384493): In Year 384493, a mysterious cosmic pandemic swept through P..."
Age of Expansion,384500,385000,The Scientific Technocracy,"AI Uprising (Year 384644): In Year 384644, a catastrophic solar flare in Aldebaran Sigm... | FTL Network Failure (Year 384868): In Year 384868, a catastrophic solar flare in Betelgeuse Arm..."
Age of Trade,385000,386000,The Great Unified Imperium,"War Declaration (Year 385092): In Year 385092, The Great Unified Imperium successfully anne... | Peace Treaty Signing (Year 385286): In Year 385286, the The Consolidated Scientific Systems and ... | FTL Network Failure (Year 385810): In Year 385810, a rogue AI network in The Consolidated Conso... | Resource Catastrophe (Year 385653): In Year 385653, a mysterious cosmic pandemic swept through V..."
Age of Expansion,386000,386500,The Great Unified Imperium,"FTL Network Failure (Year 386037): In Year 386037, a mysterious cosmic pandemic swept through P... | Wormhole Collapse (Year 386408): In Year 386408, a mysterious cosmic pandemic swept through P..."
Age of Collapse,386500,387000,The Unified Technocracy,"FTL Network Failure (Year 386663): In Year 386663, a rogue AI network in The Unified Technocrac... | Economic Collapse (Year 386876): In Year 386876, industrial megacorporations in The Perseian ..."
Age of Trade,387000,387500,The Great Consolidated Imperium,"Economic Collapse (Year 387040): In Year 387040, industrial megacorporations in The Great Con... | Economic Collapse (Year 387313): In Year 387313, resource depletion in the Pollux Arm sector ..."
Age of Colonization,387500,388000,The Great Unified Imperium,"AI Uprising (Year 387766): In Year 387766, a catastrophic solar flare in Procyon Beta d... | Scientific Breakthrough (Year 387606): In Year 387606, The Consolidated Aurelari Systems successful..."
Age of Federations,388000,389000,The Scientific AI Hegemony,"AI Uprising (Year 388104): In Year 388104, a catastrophic solar flare in Pollux Reach d... | Galactic Federation (Year 388303): In Year 388303, The Sagittarian Technocracy acted as a peace... | Megastructure Completion (Year 388602): In Year 388602, the The Consolidated Gaeian Systems complete... | Defense Pact (Year 388665): In Year 388665, the The Unified Technocracy and The Consolid..."
Age of Expansion,389000,389500,The Consolidated Beta-bulgis Systems,"FTL Network Failure (Year 389070): In Year 389070, the FTL jump gate in Orion Major suffered a ... | Refugee Crisis (Year 389161): In Year 389161, a rogue AI network in The Great Xenoid Imper..."
Age of Federations,389500,390500,The Great Scientific Imperium,"Megastructure Completion (Year 389922): In Year 389922, the The Great Scientific Imperium completed ... | Refugee Crisis (Year 389739): In Year 389739, a catastrophic solar flare in Arcturus Minor... | Economic Collapse (Year 390130): In Year 390130, The Unified Star Empire experienced a massiv... | Resource Catastrophe (Year 390381): In Year 390381, a mysterious cosmic pandemic swept through V..."
Age of Trade,390500,391000,The Great Unified Imperium,"Economic Collapse (Year 390570): In Year 390570, resource depletion in the Sirius Major secto... | Resource Catastrophe (Year 390633): In Year 390633, the FTL jump gate in Orion Expanse suffered ..."
Age of Expansion,391000,391500,The Scientific Technocracy,"Wormhole Collapse (Year 391333): In Year 391333, a rogue AI network in The Scientific AI Hege... | Megastructure Completion (Year 391048): In Year 391048, a breakthrough in zero-point energy generati..."
Age of Collapse,391500,392000,The Great Unified Imperium,"AI Uprising (Year 391657): In Year 391657, a mysterious cosmic pandemic swept through B... | Galactic Federation (Year 391607): In Year 391607, the The Aurelian Star Empire and The Great U..."
Age of Expansion,392000,393000,The Thranari Technocracy,"FTL Network Failure (Year 392097): In Year 392097, a catastrophic solar flare in Perseus Minor ... | Resource Catastrophe (Year 392380): In Year 392380, a rogue AI network in The Great Scientific I... | Pandemic Event (Year 392712): In Year 392712, the FTL jump gate in Castor Sigma suffered a... | Megastructure Completion (Year 392932): In Year 392932, The Orionex AI Hegemony successfully complet..."
Age of Colonization,393000,393500,The Great Persean Imperium,"Refugee Crisis (Year 393209): In Year 393209, a mysterious cosmic pandemic swept through V... | Planetary Invasion (Year 393017): In Year 393017, the The Consolidated Consolidated Systems la..."
Age of Expansion,393500,394000,The Unified AI Hegemony,"AI Uprising (Year 393532): In Year 393532, a catastrophic solar flare in Centauri Arm d... | Economic Collapse (Year 393582): In Year 393582, a gold rush of rare FTL fuel elements trigge..."
Age of Federations,394000,394500,The Unified Technocracy,"Economic Collapse (Year 394415): In Year 394415, resource depletion in the Sagittarius Minor ... | Galactic Federation (Year 394033): In Year 394033, The Unified Technocracy acted as a peace med..."
Age of Collapse,394500,395000,The Great Unified Imperium,"FTL Network Failure (Year 394954): In Year 394954, the FTL jump gate in Antares Minor suffered ... | Galactic Federation (Year 394609): In Year 394609, diplomatic relations between The Great Scien..."
Age of Trade,395000,395500,The Great Unified Imperium,"Pandemic Event (Year 395351): In Year 395351, a catastrophic solar flare in Polaris Nebula... | Planetary Invasion (Year 395279): In Year 395279, the joint fleets of The Primite Star Empire ..."
Age of Expansion,395500,396000,The Great Allied Imperium,"AI Uprising (Year 395690): In Year 395690, the FTL jump gate in Betelgeuse Nebula suffe... | Resource Catastrophe (Year 395754): In Year 395754, a mysterious cosmic pandemic swept through C..."
Age of Trade,396000,397000,The Consolidated Scientific Systems,"Defense Pact (Year 396373): In Year 396373, diplomatic relations between The Consolidate... | Scientific Breakthrough (Year 396079): In Year 396079, researchers in The Valite Technocracy achiev... | AI Uprising (Year 396748): In Year 396748, a mysterious cosmic pandemic swept through S... | Pandemic Event (Year 396518): In Year 396518, a catastrophic solar flare in Arcturus Arm d..."
Age of Expansion,397000,399000,The Consolidated Unified Systems,"Megastructure Completion (Year 397232): In Year 397232, The Consolidated Unified Systems successfull... | Megastructure Completion (Year 397393): In Year 397393, The Consolidated Unified Systems successfull... | FTL Network Failure (Year 397856): In Year 397856, a mysterious cosmic pandemic swept through A... | Pandemic Event (Year 397540): In Year 397540, a rogue AI network in The Thranis Star Empir... | Economic Collapse (Year 398108): In Year 398108, a gold rush of rare FTL fuel elements trigge... | FTL Network Failure (Year 398174): In Year 398174, a mysterious cosmic pandemic swept through P... | Resource Catastrophe (Year 398867): In Year 398867, a rogue AI network in The Consolidated Zelar... | Megastructure Completion (Year 398679): In Year 398679, The Consolidated Scientific Systems successf..."
Age of Federations,399000,399500,The Great Unified Imperium,"FTL Network Failure (Year 399125): In Year 399125, a catastrophic solar flare in Procyon Minor ... | Megastructure Completion (Year 399038): In Year 399038, the The Great Unified Imperium completed the..."
Age of Trade,399500,400000,The Unified Technocracy,"AI Uprising (Year 399831): In Year 399831, a catastrophic solar flare in Arcturus Beta ... | Refugee Crisis (Year 399684): In Year 399684, a rogue AI network in The Consolidated Delta..."
Age of Conflict,400000,400500,The Great Unified Imperium,"Economic Collapse (Year 400294): In Year 400294, resource depletion in the Antares Beta secto... | Resource Catastrophe (Year 400227): In Year 400227, a catastrophic solar flare in Rigel Expanse ..."
Age of Expansion,400500,401000,The Meran AI Hegemony,"Galactic Federation (Year 400682): In Year 400682, The Meran AI Hegemony acted as a peace media... | Planetary Invasion (Year 400823): In Year 400823, a skirmish broke out in Pollux Nebula betwee..."
Age of Trade,401000,401500,The Scientific AI Hegemony,"Pandemic Event (Year 401472): In Year 401472, a mysterious cosmic pandemic swept through C... | War Declaration (Year 401139): In Year 401139, the joint fleets of The Unified Technocracy ..."
Age of Expansion,401500,402000,The Great Scientific Imperium,"Wormhole Collapse (Year 401831): In Year 401831, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 401569): In Year 401569, a breakthrough in zero-point energy generati..."
Age of Colonization,402000,402500,The Scientific Technocracy,"Defense Pact (Year 402373): In Year 402373, the The Unified AI Hegemony and The Consolid... | Alliance Formation (Year 402071): In Year 402071, the The Great Kaelumian Imperium and The Val..."
Age of Federations,402500,403000,The Great Consolidated Imperium,"Galactic Federation (Year 402533): In Year 402533, the The Great Scientific Imperium and The Al... | Alliance Formation (Year 402711): In Year 402711, the The Consolidated Thranari Systems and Th..."
Age of Collapse,403000,403500,The Scientific Technocracy,"FTL Network Failure (Year 403379): In Year 403379, a catastrophic solar flare in Betelgeuse Min... | Megastructure Completion (Year 403177): In Year 403177, The Great Consolidated Imperium successfully..."
Age of Expansion,403500,404000,The Great Scientific Imperium,"Wormhole Collapse (Year 403527): In Year 403527, the FTL jump gate in Sirius Reach suffered a... | Pandemic Event (Year 403948): In Year 403948, the FTL jump gate in Rigel Minor suffered a ..."
Age of Conflict,404000,404500,The Unified Technocracy,"FTL Network Failure (Year 404101): In Year 404101, a mysterious cosmic pandemic swept through C... | Colony Assault (Year 404176): In Year 404176, a devastating fleet battle occurred in the P..."
Age of Expansion,404500,405000,The Unified AI Hegemony,"AI Uprising (Year 404660): In Year 404660, a catastrophic solar flare in Procyon Expans... | AI Uprising (Year 404947): In Year 404947, a catastrophic solar flare in Rigel Sigma de..."
Age of Trade,405000,405500,The Unified Technocracy,"Economic Collapse (Year 405033): In Year 405033, resource depletion in the Rigel Sigma sector... | Economic Collapse (Year 405457): In Year 405457, resource depletion in the Sagittarius Beta s..."
Age of Expansion,405500,406000,The Great Unified Imperium,"Resource Catastrophe (Year 405667): In Year 405667, the FTL jump gate in Castor Expanse suffered... | Megastructure Completion (Year 405520): In Year 405520, researchers in The Iota-sagittariis Technocr..."
Age of Trade,406000,406500,The Great Unified Imperium,"Megastructure Completion (Year 406097): In Year 406097, The Great Unified Imperium successfully comp... | Planetary Invasion (Year 406162): In Year 406162, the joint fleets of The Unified Technocracy ..."
Age of Expansion,406500,407500,The Great Allied Imperium,"Resource Catastrophe (Year 406611): In Year 406611, the FTL jump gate in Perseus Nebula suffered... | Pandemic Event (Year 406890): In Year 406890, a catastrophic solar flare in Aldebaran Reac... | AI Uprising (Year 407367): In Year 407367, the FTL jump gate in Orion Major suffered a ... | Megastructure Completion (Year 407461): In Year 407461, the The Great Scientific Imperium completed ..."
Age of Conflict,407500,408000,The Great Consolidated Imperium,"Wormhole Collapse (Year 407561): In Year 407561, a mysterious cosmic pandemic swept through A... | Megastructure Completion (Year 407790): In Year 407790, a breakthrough in zero-point energy generati..."
Age of Collapse,408000,408500,The Unified AI Hegemony,"War End (Year 408146): In Year 408146, The Great Meran Imperium successfully annexe... | War End (Year 408237): In Year 408237, the The Consolidated Xi-sagittariis Systems ..."
Age of Expansion,408500,409500,The Consolidated Scientific Systems,"AI Uprising (Year 408529): In Year 408529, a catastrophic solar flare in Aldebaran Beta... | Wormhole Collapse (Year 408767): In Year 408767, the FTL jump gate in Pollux Expanse suffered... | Economic Collapse (Year 409405): In Year 409405, a gold rush of rare FTL fuel elements trigge... | Colony Assault (Year 409005): In Year 409005, a skirmish broke out in Centauri Prime betwe..."
Age of Trade,409500,410000,The Great Unified Imperium,"Economic Collapse (Year 409535): In Year 409535, The Great Unified Imperium experienced a mas... | Economic Collapse (Year 409931): In Year 409931, resource depletion in the Sirius Nebula sect..."
Age of Federations,410000,410500,The Great Unified Imperium,"Wormhole Collapse (Year 410304): In Year 410304, a rogue AI network in The Scientific Technoc... | Galactic Federation (Year 410206): In Year 410206, diplomatic relations between The Unified Sta..."
Age of Colonization,410500,411000,The Great Unified Imperium,"Resource Catastrophe (Year 410713): In Year 410713, the FTL jump gate in Perseus Beta suffered a... | Galactic Federation (Year 410942): In Year 410942, the The Scientific AI Hegemony and The Unifi..."
Age of Federations,411000,412000,The Consolidated Scientific Systems,"AI Uprising (Year 411049): In Year 411049, a mysterious cosmic pandemic swept through A... | Megastructure Completion (Year 411362): In Year 411362, a breakthrough in zero-point energy generati... | FTL Network Failure (Year 411609): In Year 411609, a rogue AI network in The Great Unified Impe... | Pandemic Event (Year 411539): In Year 411539, a rogue AI network in The Unified Star Empir..."
Age of Expansion,412000,413500,The Scientific Technocracy,"Economic Collapse (Year 412484): In Year 412484, industrial megacorporations in The Orionite ... | Pandemic Event (Year 412177): In Year 412177, a rogue AI network in The Great Bulgite Impe... | AI Uprising (Year 412704): In Year 412704, the FTL jump gate in Perseus Minor suffered ... | Wormhole Collapse (Year 412557): In Year 412557, a rogue AI network in The Unified AI Hegemon... | Megastructure Completion (Year 413013): In Year 413013, a breakthrough in zero-point energy generati... | Peace Treaty Signing (Year 413101): In Year 413101, The Consolidated Scientific Systems acted as..."
Age of Collapse,413500,414500,The Scientific Technocracy,"Wormhole Collapse (Year 413978): In Year 413978, a catastrophic solar flare in Antares Arm de... | Refugee Crisis (Year 413651): In Year 413651, a catastrophic solar flare in Vega Minor des... | Economic Collapse (Year 414225): In Year 414225, The Great Unified Imperium experienced a mas... | Megastructure Completion (Year 414134): In Year 414134, researchers in The Cygnian Technocracy achie..."
Age of Federations,414500,415500,The Scientific Technocracy,"FTL Network Failure (Year 414713): In Year 414713, the FTL jump gate in Sirius Major suffered a... | Galactic Federation (Year 414515): In Year 414515, The Aurelari Technocracy acted as a peace me... | War Declaration (Year 415405): In Year 415405, the joint fleets of The Great Kaelumite Impe... | Peace Treaty Signing (Year 415031): In Year 415031, the The Consolidated Bulgite Systems and The..."
Age of Trade,415500,416000,The Great Unified Imperium,"Megastructure Completion (Year 415785): In Year 415785, The Scientific Technocracy successfully comp... | Pandemic Event (Year 415839): In Year 415839, a catastrophic solar flare in Perseus Beta d..."
Age of Expansion,416000,416500,The Great Scientific Imperium,"Megastructure Completion (Year 416256): In Year 416256, researchers in The Great Unified Imperium ac... | Megastructure Completion (Year 416335): In Year 416335, The Consolidated Consolidated Systems succes..."
Age of Conflict,416500,417000,The Consolidated Unified Systems,"Wormhole Collapse (Year 416763): In Year 416763, a rogue AI network in The Consolidated Unifi... | Megastructure Completion (Year 416982): In Year 416982, researchers in The Scientific AI Hegemony ac..."
Age of Expansion,417000,417500,The Unified Technocracy,"Economic Collapse (Year 417446): In Year 417446, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 417054): In Year 417054, the The Consolidated Allied Systems complete..."
Age of Trade,417500,418000,The Unified Technocracy,"Economic Collapse (Year 417737): In Year 417737, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 417515): In Year 417515, researchers in The Unified Technocracy achie..."
Age of Federations,418000,418500,The Great Unified Imperium,"Economic Collapse (Year 418103): In Year 418103, The Consolidated Consolidated Systems experi... | Planetary Invasion (Year 418186): In Year 418186, a devastating fleet battle occurred in the P..."
Age of Colonization,418500,419000,The Great Consolidated Imperium,"AI Uprising (Year 418647): In Year 418647, a mysterious cosmic pandemic swept through P... | Alliance Formation (Year 418593): In Year 418593, the The Consolidated Kaelumex Systems and Th..."
Age of Trade,419000,419500,The Consolidated Unified Systems,"Wormhole Collapse (Year 419041): In Year 419041, a catastrophic solar flare in Arcturus Prime... | Wormhole Collapse (Year 419169): In Year 419169, the FTL jump gate in Aldebaran Nebula suffer..."
Age of Collapse,419500,420000,The Great Scientific Imperium,"War End (Year 419847): In Year 419847, the The Consolidated Unified Systems launche... | Scientific Breakthrough (Year 419521): In Year 419521, The Great Scientific Imperium successfully c..."
Age of Colonization,420000,420500,The Great Consolidated Imperium,"Planetary Invasion (Year 420087): In Year 420087, a devastating fleet battle occurred in the R... | War End (Year 420242): In Year 420242, the joint fleets of The Scientific Technocra..."
Age of Federations,420500,421500,The Unified AI Hegemony,"Refugee Crisis (Year 420810): In Year 420810, a mysterious cosmic pandemic swept through P... | Defense Pact (Year 420738): In Year 420738, diplomatic relations between The Great Unifi... | War End (Year 421320): In Year 421320, the joint fleets of The Consolidated Unified... | Peace Treaty Signing (Year 421384): In Year 421384, diplomatic relations between The Aureloid AI..."
Age of Conflict,421500,422000,The Cygnan Technocracy,"Resource Catastrophe (Year 421687): In Year 421687, a rogue AI network in The Great Unified Impe... | Pandemic Event (Year 421819): In Year 421819, a rogue AI network in The Orionan Technocrac..."
Age of Expansion,422000,422500,The Unified Technocracy,"AI Uprising (Year 422197): In Year 422197, the FTL jump gate in Vega Prime suffered a c... | FTL Network Failure (Year 422126): In Year 422126, a catastrophic solar flare in Sirius Arm des..."
Age of Collapse,422500,423500,The Scientific Technocracy,"Economic Collapse (Year 422886): In Year 422886, The Scientific Technocracy experienced a mas... | Wormhole Collapse (Year 422618): In Year 422618, a catastrophic solar flare in Polaris Beta d... | Megastructure Completion (Year 423143): In Year 423143, researchers in The Unified Technocracy achie... | Refugee Crisis (Year 423447): In Year 423447, a catastrophic solar flare in Castor Prime d..."
Age of Federations,423500,424000,The Great Kaelumari Imperium,"Economic Collapse (Year 423947): In Year 423947, industrial megacorporations in The Unified S... | Planetary Invasion (Year 423864): In Year 423864, The Great Consolidated Imperium successfully..."
Age of Trade,424000,424500,The Great Unified Imperium,"Economic Collapse (Year 424333): In Year 424333, The Great Consolidated Imperium experienced ... | Economic Collapse (Year 424430): In Year 424430, resource depletion in the Castor Expanse sec..."
Age of Expansion,424500,425000,The Great Unified Imperium,"Megastructure Completion (Year 424510): In Year 424510, a breakthrough in zero-point energy generati... | Pandemic Event (Year 424720): In Year 424720, a catastrophic solar flare in Arcturus Sigma..."
Age of Conflict,425000,425500,The Great Unified Imperium,"AI Uprising (Year 425052): In Year 425052, a mysterious cosmic pandemic swept through O... | Economic Collapse (Year 425222): In Year 425222, industrial megacorporations in The Allied St..."
Age of Expansion,425500,426000,The Great Unified Imperium,"Economic Collapse (Year 425646): In Year 425646, a gold rush of rare FTL fuel elements trigge... | AI Uprising (Year 425963): In Year 425963, the FTL jump gate in Vega Prime suffered a c..."
Age of Collapse,426000,426500,The Great Unified Imperium,"Economic Collapse (Year 426099): In Year 426099, The Aurelan Star Empire experienced a massiv... | Wormhole Collapse (Year 426260): In Year 426260, the FTL jump gate in Vega Sigma suffered a c..."
Age of Trade,426500,427000,The Scientific Technocracy,"Economic Collapse (Year 426816): In Year 426816, resource depletion in the Vega Reach sector ... | Megastructure Completion (Year 426673): In Year 426673, researchers in The Unified Technocracy achie..."
Age of Expansion,427000,427500,The Consolidated Technocracy,"FTL Network Failure (Year 427056): In Year 427056, a mysterious cosmic pandemic swept through S... | Planetary Invasion (Year 427453): In Year 427453, a skirmish broke out in Polaris Minor betwee..."
Age of Trade,427500,428500,The Meran Technocracy,"Defense Pact (Year 427571): In Year 427571, The Meran Technocracy acted as a peace media... | Deep Space Engagement (Year 427852): In Year 427852, the joint fleets of The Scientific Technocra... | FTL Network Failure (Year 428374): In Year 428374, a rogue AI network in The Unified Technocrac... | Economic Collapse (Year 428015): In Year 428015, resource depletion in the Polaris Sigma sect..."
Age of Expansion,428500,429000,The Consolidated Scientific Systems,"FTL Network Failure (Year 428642): In Year 428642, a mysterious cosmic pandemic swept through S... | Peace Treaty Signing (Year 428803): In Year 428803, The Consolidated Allied Systems acted as a p..."
Age of Trade,429000,429500,The Consolidated Unified Systems,"Megastructure Completion (Year 429144): In Year 429144, the The Great Scientific Imperium completed ... | Megastructure Completion (Year 429236): In Year 429236, The Solite Technocracy successfully complete..."
Age of Collapse,429500,430000,The Aurelari Technocracy,"Economic Collapse (Year 429685): In Year 429685, The Unified AI Hegemony experienced a massiv... | Megastructure Completion (Year 429870): In Year 429870, The Consolidated Unified Systems successfull..."
